Columbia Internatl,Error,Charleston Southern,2127
5:29,-1,Jordan Dillingham made Three Point Jumper. Assisted by Micah Banks.,16,34
5:21,2127,Sean Price made Layup. Assisted by Ty Jones.,16,36
5:09,-1,Jordan Dillingham made Layup. Assisted by Damian Hurta.,18,36
4:51,2127,Sean Price made Layup.,18,38
4:42,-1,Kameron Robinson missed Layup.,18,38
4:42,-1,Gabe Kirk Offensive Rebound.,18,38
4:38,2127,Foul on JC Cavin.,18,38
4:38,-1,Kameron Robinson made Free Throw.,19,38
4:38,-1,Kameron Robinson made Free Throw.,20,38
4:26,-1,Foul on Gabe Kirk.,20,38
4:26,2127,Jordan Jones made Free Throw.,20,39
4:26,2127,Jordan Jones missed Free Throw.,20,39
4:26,-1,Gabe Kirk Defensive Rebound.,20,39
4:00,-1,Micah Banks missed Jumper.,20,39
4:00,2127,Deontaye Buskey Defensive Rebound.,20,39
3:55,2127,Phlandrous Fleming Jr made Layup. Assisted by Deontaye Buskey.,20,41
3:55,-1,Foul on Gabe Kirk.,20,41
3:55,2127,Official TV Timeout,20,41
3:55,2127,Phlandrous Fleming Jr missed Free Throw.,20,41
3:55,-1,Damian Hurta Defensive Rebound.,20,41
3:47,-1,Damian Hurta Turnover.,20,41
3:38,2127,Phlandrous Fleming Jr missed Three Point Jumper.,20,41
3:38,-1,Jordan Dillingham Defensive Rebound.,20,41
3:26,-1,Damian Hurta Turnover.,20,41
3:25,2127,Sean Price Steal.,20,41
3:19,2127,Sean Price made Layup.,20,43
3:04,2127,Foul on Phlandrous Fleming Jr.,20,43
3:04,-1,Kameron Robinson made Free Throw.,21,43
3:04,-1,Kameron Robinson made Free Throw.,22,43
2:54,-1,Foul on Micah Banks.,22,43
2:54,2127,Deontaye Buskey made Free Throw.,22,44
2:54,2127,Deontaye Buskey missed Free Throw.,22,44
2:54,-1,Columbia International Defensive Rebound.,22,44
2:29,2127,Foul on Phlandrous Fleming Jr.,22,44
2:29,-1,Tyrone Dantzler Jr. missed Free Throw.,22,44
2:29,2127,Javis Howard Defensive Rebound.,22,44
2:12,2127,Travis McConico made Three Point Jumper. Assisted by Sean Price.,22,47
1:52,2127,Foul on Sean Price.,22,47
1:52,2127,Charleston Southern  Timeout,22,47
1:52,-1,Druw Rollins made Free Throw.,23,47
1:52,-1,Druw Rollins made Free Throw.,24,47
1:42,2127,Travis McConico missed Three Point Jumper.,24,47
1:42,-1,Tyrone Dantzler Jr. Defensive Rebound.,24,47
1:21,-1,Gabe Kirk missed Layup.,24,47
1:21,2127,Travis McConico Defensive Rebound.,24,47
1:14,2127,Deontaye Buskey missed Layup.,24,47
1:14,2127,Javis Howard Offensive Rebound.,24,47
1:11,2127,Javis Howard missed Two Point Tip Shot.,24,47
1:11,2127,Sean Price Offensive Rebound.,24,47
0:53,2127,Javis Howard missed Jumper.,24,47
0:53,2127,Javis Howard Offensive Rebound.,24,47
0:51,-1,Foul on Druw Rollins.,24,47
0:51,2127,Javis Howard missed Free Throw.,24,47
0:51,2127,Charleston Southern Deadball Team Rebound.,24,47
0:51,2127,Javis Howard Steal.,24,47
0:27,-1,Gabe Kirk Turnover.,24,47
0:26,2127,Travis McConico Steal.,24,47
0:25,2127,Sean Price missed Layup.,24,47
0:25,-1,Damian Hurta Defensive Rebound.,24,47
0:12,2127,Foul on Sean Price.,24,47
0:12,2127,Javis Howard made Free Throw.,24,48
0:12,-1,Damian Hurta made Free Throw.,25,48
0:12,-1,Damian Hurta made Free Throw.,26,48
0:00,2127,Ty Jones made Layup. Assisted by Travis McConico.,26,50
0:00,2127,End of 1st half,25,50
19:38,-1,Columbia International  Timeout,26,50
19:38,2127,Official TV Timeout,26,50
19:32,-1,Damian Hurta missed Jumper.,26,50
19:32,2127,Sean Price Defensive Rebound.,26,50
19:26,2127,Phlandrous Fleming Jr missed Three Point Jumper.,26,50
19:26,-1,Damian Hurta Defensive Rebound.,26,50
18:56,-1,Tyrone Dantzler Jr. missed Jumper.,26,50
18:56,2127,Jordan Jones Block.,26,50
18:54,2127,Jordan Jones Defensive Rebound.,26,50
18:49,2127,Phlandrous Fleming Jr made Layup.,26,52
18:18,-1,Damian Hurta missed Three Point Jumper.,26,52
18:18,2127,Jordan Jones Defensive Rebound.,26,52
17:58,2127,Travis McConico missed Three Point Jumper.,26,52
17:58,-1,Columbia International Deadball Team Rebound.,26,52
17:47,-1,Tyrone Dantzler Jr. missed Jumper.,26,52
17:47,2127,Phlandrous Fleming Jr Defensive Rebound.,26,52
17:22,2127,Jordan Jones made Layup. Assisted by JC Cavin.,26,54
17:22,-1,Foul on Jordan Dillingham.,26,54
17:22,2127,Jordan Jones missed Free Throw.,26,54
17:22,-1,Damian Hurta Defensive Rebound.,26,54
17:08,-1,Jordan Dillingham made Jumper.,28,54
16:51,2127,Jordan Jones made Jumper.,28,56
16:17,-1,Micah Banks missed Jumper.,28,56
16:17,2127,Travis McConico Defensive Rebound.,28,56
16:07,2127,JC Cavin missed Three Point Jumper.,28,56
16:07,-1,Damian Hurta Defensive Rebound.,28,56
16:04,2127,Foul on Travis McConico.,28,56
15:47,-1,Damian Hurta made Three Point Jumper. Assisted by Micah Banks.,31,56
15:28,2127,Javis Howard made Layup. Assisted by Sean Price.,31,58
15:12,-1,Damian Hurta Turnover.,31,58
15:12,2127,Official TV Timeout,31,58
15:03,-1,Foul on Damian Hurta.,31,58
15:03,2127,Ty Jones missed Free Throw.,31,58
15:03,2127,Charleston Southern Deadball Team Rebound.,31,58
15:03,2127,Ty Jones made Free Throw.,31,59
14:59,-1,Kameron Robinson made Layup. Assisted by Micah Banks.,33,59
14:45,2127,JC Cavin Turnover.,33,59
14:44,2127,Foul on JC Cavin.,33,59
14:27,-1,Druw Rollins Turnover.,33,59
14:06,2127,Javis Howard made Three Point Jumper. Assisted by Jamar Martin.,33,62
13:37,-1,Damian Hurta Turnover.,33,62
13:36,2127,Deontaye Buskey Steal.,33,62
13:32,-1,Foul on Micah Banks.,33,62
13:32,2127,Deontaye Buskey made Free Throw.,33,63
13:32,2127,Deontaye Buskey missed Free Throw.,33,63
13:32,-1,Jordan Dillingham Defensive Rebound.,33,63
13:32,-1,Foul on Kameron Robinson.,33,63
13:32,-1,Kameron Robinson Turnover.,33,63
13:14,2127,Foul on Deontaye Buskey.,33,63
13:14,2127,Deontaye Buskey Turnover.,33,63
13:04,-1,Druw Rollins Turnover.,33,63
13:03,2127,Deontaye Buskey Steal.,33,63
13:01,2127,Ty Jones missed Layup.,33,63
13:01,2127,Jamar Martin Offensive Rebound.,33,63
12:58,2127,Jamar Martin made Layup.,33,65
12:44,-1,Columbia International  Timeout,33,65
12:35,-1,Damian Hurta missed Three Point Jumper.,33,65
12:35,2127,Ty Jones Defensive Rebound.,33,65
12:26,2127,Jamal Thomas missed Three Point Jumper.,33,65
12:26,-1,Gabe Kirk Defensive Rebound.,33,65
12:23,2127,Foul on Javis Howard.,33,65
12:14,-1,Kameron Robinson Turnover.,33,65
12:14,2127,Ty Jones Steal.,33,65
12:12,2127,Ty Jones made Dunk.,33,67
11:59,-1,Jordan Dillingham Turnover.,33,67
11:59,2127,Official TV Timeout,33,67
11:43,2127,Deontaye Buskey missed Three Point Jumper.,33,67
11:43,-1,Kameron Robinson Defensive Rebound.,33,67
11:36,-1,Kameron Robinson Turnover.,33,67
11:35,2127,Deontaye Buskey Steal.,33,67
11:32,2127,Javis Howard made Dunk. Assisted by Jamal Thomas.,33,69
11:16,-1,Jordan Dillingham Turnover.,33,69
11:15,2127,Deontaye Buskey Steal.,33,69
11:07,2127,Jamar Martin missed Three Point Jumper.,33,69
11:07,-1,Columbia International Defensive Rebound.,33,69
10:54,-1,Kameron Robinson missed Jumper.,33,69
10:54,2127,Ty Jones Defensive Rebound.,33,69
10:47,2127,Ty Jones made Layup.,33,71
10:47,-1,Foul on Druw Rollins.,33,71
10:47,2127,Ty Jones missed Free Throw.,33,71
10:47,2127,Jamar Martin Offensive Rebound.,33,71
10:45,2127,Jamar Martin made Layup.,33,73
10:35,-1,Jordan Dillingham Turnover.,33,73
10:34,2127,Ty Jones Steal.,33,73
10:31,2127,Ty Jones made Dunk. Assisted by Jamar Martin.,33,75
10:24,-1,Druw Rollins missed Three Point Jumper.,33,75
10:24,-1,Gabe Kirk Offensive Rebound.,33,75
10:15,-1,Damian Hurta missed Three Point Jumper.,33,75
10:15,2127,Charleston Southern Defensive Rebound.,33,75
10:11,-1,Foul on Druw Rollins.,33,75
9:52,2127,Jamar Martin Turnover.,33,75
9:40,-1,Damian Hurta Turnover.,33,75
9:29,2127,Ty Jones made Layup.,33,77
9:13,-1,Jordan Dillingham missed Three Point Jumper.,33,77
9:13,2127,Ty Jones Defensive Rebound.,33,77
8:59,2127,Ty Jones made Layup.,33,79
8:59,-1,Foul on Juraj Rovis.,33,79
8:59,2127,Ty Jones made Free Throw.,33,80
8:42,-1,Damian Hurta Turnover.,33,80
8:41,2127,Jamal Thomas Steal.,33,80
8:39,2127,Jamal Thomas made Dunk.,33,82
8:27,2127,Foul on Jamal Thomas.,33,82
8:07,-1,Jordan Dillingham Turnover.,33,82
8:03,2127,Abdul Sarki made Layup. Assisted by Jamal Thomas.,33,84
7:48,2127,Official TV Timeout,33,84
7:38,-1,Druw Rollins made Layup. Assisted by Tyrone Dantzler Jr..,35,84
7:23,-1,Foul on Juraj Rovis.,35,84
7:23,2127,Abdul Sarki made Free Throw.,35,85
7:23,2127,Abdul Sarki made Free Throw.,35,86
7:02,-1,Druw Rollins missed Jumper.,35,86
7:02,2127,Jamar Martin Defensive Rebound.,35,86
6:41,2127,JC Cavin made Layup.,35,88
6:19,2127,Foul on Sean Price.,35,88
6:16,-1,Christian Williams Turnover.,35,88
6:15,2127,Sean Price Steal.,35,88
6:13,2127,Sean Price made Dunk.,35,90
5:56,-1,Druw Rollins made Jumper. Assisted by Christian Williams.,37,90
5:43,2127,Jamar Martin missed Three Point Jumper.,37,90
5:43,-1,Micah Banks Defensive Rebound.,37,90
5:32,-1,Christian Williams Turnover.,37,90
5:31,2127,Sean Price Steal.,37,90
5:30,2127,Foul on Sean Price.,37,90
5:30,2127,Sean Price Turnover.,37,90
5:25,-1,Damian Hurta missed Three Point Jumper.,37,90
5:25,-1,Druw Rollins Offensive Rebound.,37,90
5:14,2127,Foul on JC Cavin.,37,90
5:14,-1,Druw Rollins made Free Throw.,38,90
5:14,-1,Druw Rollins made Free Throw.,39,90
4:57,2127,JC Cavin made Jumper.,39,92
4:37,-1,Christian Williams made Jumper.,41,92
4:17,2127,Jamar Martin missed Three Point Jumper.,41,92
4:17,-1,Druw Rollins Defensive Rebound.,41,92
4:06,-1,Tyrone Dantzler Jr. made Three Point Jumper. Assisted by Druw Rollins.,44,92
3:48,2127,Jamar Martin made Dunk.,44,94
3:30,-1,Druw Rollins made Three Point Jumper. Assisted by Tyrone Dantzler Jr..,47,94
3:18,2127,Charleston Southern  Timeout,47,94
3:18,2127,Official TV Timeout,47,94
3:05,-1,Foul on Tyrone Dantzler Jr..,47,94
3:05,2127,JC Cavin made Free Throw.,47,95
3:05,2127,JC Cavin missed Free Throw.,47,95
3:05,-1,Tyrone Dantzler Jr. Defensive Rebound.,47,95
2:48,-1,Damian Hurta Turnover.,47,95
2:25,2127,JC Cavin made Three Point Jumper. Assisted by Jamar Martin.,47,98
2:06,-1,Druw Rollins Turnover.,47,98
1:54,2127,Alex Stewart missed Three Point Jumper.,47,98
1:54,-1,Tyrone Dantzler Jr. Defensive Rebound.,47,98
1:44,2127,Foul on Alex Stewart.,47,98
1:44,-1,Kameron Robinson made Free Throw.,48,98
1:44,-1,Kameron Robinson made Free Throw.,49,98
1:44,-1,Kameron Robinson made Free Throw.,50,98
1:40,2127,Nathan Payne missed Layup.,50,98
1:40,-1,Jordan Dillingham Block.,50,98
1:40,2127,Nathan Payne Offensive Rebound.,50,98
1:27,2127,Alex Stewart Turnover.,50,98
1:26,-1,Tyrone Dantzler Jr. Steal.,50,98
1:24,-1,Tyrone Dantzler Jr. missed Layup.,50,98
1:24,-1,Druw Rollins Offensive Rebound.,50,98
1:21,-1,Druw Rollins made Layup.,52,98
1:09,2127,Abdul Sarki missed Dunk.,52,98
1:09,-1,Druw Rollins Defensive Rebound.,52,98
0:58,-1,Kameron Robinson made Layup.,54,98
0:58,2127,Foul on Nathan Payne.,54,98
0:58,-1,Kameron Robinson made Free Throw.,55,98
0:44,2127,JC Cavin missed Three Point Jumper.,55,98
0:44,-1,Druw Rollins Defensive Rebound.,55,98
0:30,2127,Foul on Alex Stewart.,55,98
0:30,-1,Kameron Robinson made Free Throw.,56,98
0:30,-1,Kameron Robinson made Free Throw.,57,98
0:30,-1,Kameron Robinson made Free Throw.,58,98
0:04,2127,Nathan Payne missed Layup.,58,98
0:04,2127,Nathan Payne Offensive Rebound.,58,98
0:00,2127,Nathan Payne missed Layup.,58,98
0:00,-1,Druw Rollins Defensive Rebound.,58,98
0:00,2127,End of Game,58,98
