Nevada,2541,Santa Clara,2440
16:09,2541,Matt Hauser made Three Point Jumper. Assisted by Emmanuel Ndumanya.,57,37
15:49,2440,Kendall Stephens made Three Point Jumper. Assisted by Jordan Caroline.,60,37
15:33,2541,Emmanuel Ndumanya made Dunk. Assisted by Matt Hauser.,60,39
15:15,2541,Foul on Emmanuel Ndumanya.,60,39
15:15,2541,Official TV Timeout,60,39
15:03,2440,Lindsey Drew missed Jumper.,60,39
15:03,2541,KJ Feagin Defensive Rebound.,60,39
14:38,2541,Emmanuel Ndumanya missed Layup.,60,39
14:38,2440,Caleb Martin Defensive Rebound.,60,39
14:29,2541,Foul on Emmanuel Ndumanya.,60,39
14:19,2440,Kendall Stephens made Three Point Jumper. Assisted by Caleb Martin.,63,39
13:53,2541,Shaquille Walters missed Three Point Jumper.,63,39
13:53,2440,Caleb Martin Defensive Rebound.,63,39
13:46,2440,Cody Martin Turnover.,63,39
13:46,2541,Josip Vrankic missed Jumper.,63,39
13:46,2440,Lindsey Drew Defensive Rebound.,63,39
13:40,2440,Kendall Stephens missed Three Point Jumper.,63,39
13:40,2541,Matt Hauser Defensive Rebound.,63,39
13:07,2541,Matt Turner missed Layup.,63,39
13:07,2440,Lindsey Drew Block.,63,39
13:07,2541,Henry Caruso Offensive Rebound.,63,39
13:07,2541,Henry Caruso made Layup.,63,41
12:50,2440,Caleb Martin missed Three Point Jumper.,63,41
12:50,2440,Hallice Cooke Offensive Rebound.,63,41
12:30,2440,Hallice Cooke missed Jumper.,63,41
12:30,2541,Shaquille Walters Defensive Rebound.,63,41
12:13,2541,Henry Caruso made Layup.,63,43
12:13,2440,Foul on Cody Martin.,63,43
12:13,2541,Henry Caruso made Free Throw.,63,44
11:59,2440,Caleb Martin missed Jumper.,63,44
11:59,2541,Josip Vrankic Defensive Rebound.,63,44
11:52,2541,Shaquille Walters missed Layup.,63,44
11:52,2440,Hallice Cooke Defensive Rebound.,63,44
11:47,2440,Cody Martin made Dunk. Assisted by Hallice Cooke.,65,44
11:22,2541,Matt Turner made Three Point Jumper. Assisted by Henry Caruso.,65,47
11:09,2440,Josh Hall missed Three Point Jumper.,65,47
11:09,2541,Henry Caruso Defensive Rebound.,65,47
10:59,2541,Shaquille Walters missed Jumper.,65,47
10:59,2541,Henry Caruso Offensive Rebound.,65,47
10:54,2440,Foul on Jordan Caroline.,65,47
10:54,2541,Official TV Timeout,65,47
10:54,2541,Henry Caruso made Free Throw.,65,48
10:54,2541,Henry Caruso made Free Throw.,65,49
10:29,2440,Cody Martin missed Three Point Jumper.,65,49
10:29,2541,Henry Caruso Defensive Rebound.,65,49
10:13,2541,Matt Turner missed Three Point Jumper.,65,49
10:13,2541,Henry Caruso Offensive Rebound.,65,49
10:08,2541,Henry Caruso made Jumper.,65,51
9:47,2541,Foul on Matt Turner.,65,51
9:47,2440,Cody Martin made Free Throw.,66,51
9:47,2440,Cody Martin made Free Throw.,67,51
9:31,2541,Josip Vrankic missed Layup.,67,51
9:31,2541,Josip Vrankic Offensive Rebound.,67,51
9:30,2541,Josip Vrankic missed Layup.,67,51
9:30,2440,Lindsey Drew Defensive Rebound.,67,51
9:20,2440,Jordan Caroline Turnover.,67,51
9:08,2541,Henry Caruso missed Jumper.,67,51
9:08,2440,Jordan Caroline Defensive Rebound.,67,51
8:59,2440,Jordan Caroline made Layup. Assisted by Lindsey Drew.,69,51
8:59,2541,Foul on KJ Feagin.,69,51
8:59,2440,Jordan Caroline made Free Throw.,70,51
8:42,2440,Charlie Tooley missed Three Point Jumper.,70,51
8:42,2440,Josh Hall Offensive Rebound.,70,51
8:18,2440,Jordan Caroline missed Jumper.,70,51
8:18,2440,Cody Martin Offensive Rebound.,70,51
8:17,2440,Cody Martin made Layup.,72,51
8:13,2541,Matt Hauser missed Three Point Jumper.,72,51
8:13,2541,Josip Vrankic Offensive Rebound.,72,51
8:06,2541,Josip Vrankic missed Layup.,72,51
8:06,2440,Jordan Caroline Defensive Rebound.,72,51
7:52,2440,Jordan Caroline made Layup. Assisted by Hallice Cooke.,74,51
7:39,2541,KJ Feagin made Layup.,74,53
7:22,2440,Cody Martin made Layup. Assisted by Lindsey Drew.,76,53
7:04,2440,Foul on Josh Hall.,76,53
7:04,2541,Official TV Timeout,76,53
7:04,2541,KJ Feagin made Free Throw.,76,54
7:04,2541,KJ Feagin made Free Throw.,76,55
6:45,2440,Hallice Cooke missed Jumper.,76,55
6:45,2541,Shaquille Walters Defensive Rebound.,76,55
6:34,2541,KJ Feagin missed Three Point Jumper.,76,55
6:34,2440,Cody Martin Defensive Rebound.,76,55
6:07,2440,Josh Hall made Layup. Assisted by Darien Williams.,78,55
5:53,2541,KJ Feagin missed Layup.,78,55
5:53,2440,Nevada Defensive Rebound.,78,55
5:39,2440,Hallice Cooke made Three Point Jumper. Assisted by Lindsey Drew.,81,55
5:20,2440,Foul on Hallice Cooke.,81,55
5:20,2541,Henry Caruso missed Jumper.,81,55
5:20,2440,Hallice Cooke Defensive Rebound.,81,55
4:48,2440,Darien Williams made Three Point Jumper. Assisted by Josh Hall.,84,55
4:33,2541,Matt Turner missed Three Point Jumper.,84,55
4:33,2440,Lindsey Drew Defensive Rebound.,84,55
4:24,2440,Darien Williams missed Three Point Jumper.,84,55
4:24,2440,Cody Martin Offensive Rebound.,84,55
4:22,2440,Cody Martin made Layup.,86,55
4:02,2541,Henry Caruso made Three Point Jumper. Assisted by Matt Turner.,86,58
3:40,2541,Official TV Timeout,86,58
3:30,2440,Cody Martin Turnover.,86,58
3:20,2541,Josip Vrankic made Three Point Jumper. Assisted by Shaquille Walters.,86,61
2:52,2440,Cody Martin made Jumper.,88,61
2:29,2541,Shaquille Walters missed Three Point Jumper.,88,61
2:29,2440,Darien Williams Defensive Rebound.,88,61
2:06,2541,Foul on Matt Turner.,88,61
2:06,2440,Cody Martin made Free Throw.,89,61
2:06,2440,Cody Martin missed Free Throw.,89,61
2:06,2541,Emmanuel Ndumanya Defensive Rebound.,89,61
1:49,2440,Foul on Elijah Foster.,89,61
1:49,2541,Emmanuel Ndumanya missed Free Throw.,89,61
1:49,2440,Lindsey Drew Defensive Rebound.,89,61
1:22,2440,Lindsey Drew made Three Point Jumper.,92,61
1:04,2541,Matt Turner Turnover.,92,61
1:04,2440,Darien Williams Steal.,92,61
1:04,2541,Foul on Josip Vrankic.,92,61
1:04,2440,Darien Williams missed Free Throw.,92,61
1:04,2541,Emmanuel Ndumanya Defensive Rebound.,92,61
0:55,2440,Foul on Elijah Foster.,92,61
0:55,2541,Shaquille Walters missed Free Throw.,92,61
0:55,2541,Santa Clara Deadball Team Rebound.,92,61
0:55,2541,Shaquille Walters missed Free Throw.,92,61
0:55,2541,Emmanuel Ndumanya Offensive Rebound.,92,61
0:47,2541,Matt Turner missed Layup.,92,61
0:47,2440,Darien Williams Defensive Rebound.,92,61
0:44,2440,Darien Williams Turnover.,92,61
0:44,2541,Shaquille Walters Steal.,92,61
0:37,2541,Emmanuel Ndumanya missed Layup.,92,61
0:37,2440,Elijah Foster Defensive Rebound.,92,61
0:28,2541,Foul on Josip Vrankic.,92,61
0:28,2440,Darien Williams made Free Throw.,93,61
0:28,2440,Darien Williams missed Free Throw.,93,61
0:28,2541,Emmanuel Ndumanya Defensive Rebound.,93,61
0:07,2541,Shaquille Walters made Layup. Assisted by Kai Healy.,93,63
0:00,2541,End of Game,93,63
