Wartburg,2460,Northern Iowa,2685
11:59,-1,Nate Woeste Defensive Rebound.,9,14
11:45,-1,Max Smith Drahos Turnover.,9,14
11:44,2460,Spencer Haldeman Steal.,9,14
11:44,-1,Foul on Ryan Stulken.,9,14
11:44,2460,Official TV Timeout,9,14
11:32,-1,Foul on Trevor Larson.,9,14
11:27,2460,Spencer Haldeman missed Three Point Jumper.,9,14
11:27,-1,Ryan Stulken Defensive Rebound.,9,14
11:08,-1,Ryan Stulken missed Jumper.,9,14
11:08,2460,Bennett Koch Block.,9,14
11:07,2460,Bennett Koch Defensive Rebound.,9,14
10:57,2460,Adam McDermott made Three Point Jumper. Assisted by Bennett Koch.,9,17
10:41,-1,Colten Connelly Turnover.,9,17
10:40,2460,Isaiah Brown Steal.,9,17
10:38,2460,Isaiah Brown made Dunk.,9,19
10:22,-1,Trevor Larson Turnover.,9,19
10:21,2460,Juwan McCloud Steal.,9,19
10:19,2460,Juwan McCloud made Layup.,9,21
9:51,-1,Sawyer Herman missed Three Point Jumper.,9,21
9:51,2460,Tywhon Pickford Defensive Rebound.,9,21
9:41,2460,Bennett Koch Turnover.,9,21
9:40,-1,Nate Woeste Steal.,9,21
9:34,2460,Foul on Bennett Koch.,9,21
9:34,-1,Sawyer Herman made Free Throw.,10,21
9:34,-1,Sawyer Herman made Free Throw.,11,21
9:12,2460,Juwan McCloud missed Jumper.,11,21
9:12,-1,Nate Woeste Defensive Rebound.,11,21
9:01,-1,Jaran Sabus missed Layup.,11,21
9:01,2460,Luke McDonnell Block.,11,21
9:00,-1,Wartburg Offensive Rebound.,11,21
8:57,-1,Jaran Sabus Turnover.,11,21
8:39,2460,Luke McDonnell missed Three Point Jumper.,11,21
8:39,-1,Sawyer Herman Defensive Rebound.,11,21
8:14,-1,Cam Kickbush made Three Point Jumper.,14,21
7:48,2460,Luke McDonnell missed Layup.,14,21
7:48,-1,Josh Gehling Block.,14,21
7:47,2460,Northern Iowa Offensive Rebound.,14,21
7:46,2460,Official TV Timeout,14,21
7:40,2460,Bennett Koch Turnover.,14,21
7:24,-1,Nate Woeste Turnover.,14,21
7:22,2460,Bennett Koch Steal.,14,21
7:19,2460,Bennett Koch Turnover.,14,21
7:17,-1,Cam Kickbush Steal.,14,21
7:15,-1,Cam Kickbush missed Layup.,14,21
7:15,2460,Isaiah Brown Block.,14,21
7:13,2460,Spencer Haldeman Defensive Rebound.,14,21
7:11,-1,Foul on Sawyer Herman.,14,21
7:11,2460,Bennett Koch made Free Throw.,14,22
7:11,2460,Bennett Koch missed Free Throw.,14,22
7:11,-1,Jaran Sabus Defensive Rebound.,14,22
7:00,-1,Cam Kickbush missed Jumper.,14,22
7:00,2460,Juwan McCloud Defensive Rebound.,14,22
6:51,-1,Foul on Sawyer Herman.,14,22
6:51,2460,Spencer Haldeman missed Free Throw.,14,22
6:51,2460,Northern Iowa Deadball Team Rebound.,14,22
6:51,2460,Spencer Haldeman made Free Throw.,14,23
6:51,2460,Spencer Haldeman made Free Throw.,14,24
6:34,-1,Jaran Sabus made Layup.,16,24
6:16,2460,Tywhon Pickford made Layup.,16,26
6:01,-1,Cam Kickbush made Three Point Jumper. Assisted by Nate Woeste.,19,26
5:41,2460,Bennett Koch Turnover.,19,26
5:41,2460,Foul on Bennett Koch.,19,26
5:32,-1,Jaran Sabus made Layup.,21,26
5:29,2460,Northern Iowa  Timeout,21,26
5:17,2460,Spencer Haldeman missed Three Point Jumper.,21,26
5:17,2460,Tywhon Pickford Offensive Rebound.,21,26
5:12,2460,Tywhon Pickford missed Layup.,21,26
5:12,2460,Tywhon Pickford Offensive Rebound.,21,26
5:09,2460,Tywhon Pickford made Layup.,21,28
4:50,-1,Jaran Sabus missed Layup.,21,28
4:50,2460,Tywhon Pickford Block.,21,28
4:49,-1,Cam Kickbush Offensive Rebound.,21,28
4:47,-1,Jaran Sabus Turnover.,21,28
4:35,2460,Juwan McCloud missed Layup.,21,28
4:35,-1,Josh Gehling Defensive Rebound.,21,28
4:25,-1,Cam Kickbush missed Three Point Jumper.,21,28
4:25,2460,Isaiah Brown Defensive Rebound.,21,28
4:04,2460,Tywhon Pickford missed Three Point Jumper.,21,28
4:04,2460,Ted Friedman Offensive Rebound.,21,28
4:00,-1,Foul on Max Smith Drahos.,21,28
4:00,2460,Ted Friedman missed Free Throw.,21,28
4:00,-1,Nate Woeste Defensive Rebound.,21,28
3:47,-1,Nate Woeste missed Jumper.,21,28
3:47,2460,Isaiah Brown Defensive Rebound.,21,28
3:36,2460,Spencer Haldeman missed Three Point Jumper.,21,28
3:36,-1,Jaran Sabus Defensive Rebound.,21,28
3:18,-1,Jaran Sabus missed Three Point Jumper.,21,28
3:18,2460,Ted Friedman Defensive Rebound.,21,28
3:08,2460,Juwan McCloud missed Three Point Jumper.,21,28
3:08,-1,Trevor Larson Defensive Rebound.,21,28
2:42,-1,Trevor Larson missed Jumper.,21,28
2:42,-1,Ryan Stulken Offensive Rebound.,21,28
2:38,2460,Foul on Ted Friedman.,21,28
2:38,2460,Official TV Timeout,21,28
2:38,-1,Ryan Stulken made Free Throw.,22,28
2:38,-1,Ryan Stulken made Free Throw.,23,28
2:27,2460,Isaiah Brown missed Three Point Jumper.,23,28
2:27,-1,Sawyer Herman Defensive Rebound.,23,28
2:20,-1,Sawyer Herman missed Three Point Jumper.,23,28
2:20,-1,Tyler Zumbach Offensive Rebound.,23,28
2:12,-1,Tyler Zumbach missed Layup.,23,28
2:12,2460,Tywhon Pickford Defensive Rebound.,23,28
2:00,2460,Isaiah Brown missed Three Point Jumper.,23,28
2:00,2460,Ted Friedman Offensive Rebound.,23,28
1:52,2460,Juwan McCloud made Layup.,23,30
1:52,-1,Foul on Ryan Stulken.,23,30
1:52,2460,Juwan McCloud made Free Throw.,23,31
1:34,-1,Sawyer Herman Turnover.,23,31
1:17,2460,Juwan McCloud missed Three Point Jumper.,23,31
1:17,-1,Tyler Zumbach Defensive Rebound.,23,31
1:09,-1,Nate Woeste made Three Point Jumper. Assisted by Trevor Larson.,26,31
1:00,2460,Ted Friedman Turnover.,26,31
1:00,2460,Foul on Ted Friedman.,26,31
0:56,-1,Tyler Zumbach Turnover.,26,31
0:35,2460,Spencer Haldeman Turnover.,26,31
0:33,-1,Josh Gehling Steal.,26,31
0:20,-1,Josh Gehling missed Layup.,26,31
0:20,2460,Ted Friedman Block.,26,31
0:18,2460,Juwan McCloud Defensive Rebound.,26,31
0:14,2460,Juwan McCloud missed Layup.,26,31
0:14,-1,Nate Woeste Block.,26,31
0:12,2460,Ted Friedman Offensive Rebound.,26,31
0:09,2460,Adam McDermott missed Three Point Jumper.,26,31
0:09,2460,Isaiah Brown Offensive Rebound.,26,31
0:09,2460,Isaiah Brown missed Free Throw.,26,31
0:09,2460,Northern Iowa Deadball Team Rebound.,26,31
0:09,-1,Foul on Nate Woeste.,26,31
0:09,2460,Isaiah Brown missed Free Throw.,26,31
0:09,-1,Sawyer Herman Defensive Rebound.,26,31
0:03,-1,Sawyer Herman missed Three Point Jumper.,26,31
0:03,-1,Ryan Stulken Offensive Rebound.,26,31
0:00,-1,Ryan Stulken missed Jumper.,26,31
0:00,2460,Isaiah Brown Defensive Rebound.,26,31
0:00,2460,End of 1st half,26,31
19:53,-1,Nate Woeste missed Layup.,26,31
19:53,2460,Klint Carlson Defensive Rebound.,26,31
19:30,2460,Tywhon Pickford Turnover.,26,31
19:30,2460,Foul on Tywhon Pickford.,26,31
19:22,2460,Foul on Isaiah Brown.,26,31
19:06,-1,Josh Gehling missed Layup.,26,31
19:06,2460,Tywhon Pickford Defensive Rebound.,26,31
18:53,-1,Foul on Nate Woeste.,26,31
18:45,2460,Bennett Koch made Jumper.,26,33
18:21,-1,Sawyer Herman missed Three Point Jumper.,26,33
18:21,2460,Juwan McCloud Defensive Rebound.,26,33
18:09,2460,Isaiah Brown missed Three Point Jumper.,26,33
18:09,-1,Josh Gehling Defensive Rebound.,26,33
17:49,-1,Josh Gehling made Jumper.,28,33
17:33,2460,Bennett Koch made Layup.,28,35
17:27,-1,Sawyer Herman missed Three Point Jumper.,28,35
17:27,2460,Tywhon Pickford Defensive Rebound.,28,35
17:18,2460,Tywhon Pickford missed Three Point Jumper.,28,35
17:18,-1,Jaran Sabus Defensive Rebound.,28,35
17:08,-1,Sawyer Herman made Three Point Jumper. Assisted by Jaran Sabus.,31,35
16:46,-1,Foul on Sawyer Herman.,31,35
16:35,2460,Klint Carlson Turnover.,31,35
16:34,-1,Trevor Larson Steal.,31,35
16:28,-1,Jaran Sabus missed Layup.,31,35
16:28,2460,Bennett Koch Defensive Rebound.,31,35
16:17,2460,Klint Carlson Turnover.,31,35
16:15,-1,Tyler Zumbach Steal.,31,35
16:05,-1,Trevor Larson Turnover.,31,35
15:53,2460,Bennett Koch made Jumper.,31,37
15:53,-1,Foul on Josh Gehling.,31,37
15:53,2460,Official TV Timeout,31,37
15:53,2460,Bennett Koch missed Free Throw.,31,37
15:53,-1,Josh Gehling Defensive Rebound.,31,37
15:30,-1,Ryan Stulken missed Three Point Jumper.,31,37
15:30,2460,Tywhon Pickford Defensive Rebound.,31,37
15:18,2460,Juwan McCloud missed Three Point Jumper.,31,37
15:18,-1,Ryan Stulken Defensive Rebound.,31,37
15:07,-1,Tyler Zumbach missed Three Point Jumper.,31,37
15:07,-1,Wartburg Offensive Rebound.,31,37
14:55,-1,Max Smith Drahos missed Jumper.,31,37
14:55,-1,Trevor Larson Offensive Rebound.,31,37
14:50,-1,Max Smith Drahos missed Jumper.,31,37
14:50,2460,Klint Carlson Defensive Rebound.,31,37
14:27,-1,Foul on Clifton Brown.,31,37
14:23,2460,Bennett Koch Turnover.,31,37
14:22,-1,Max Smith Drahos Steal.,31,37
14:20,-1,Max Smith Drahos missed Jumper.,31,37
14:20,-1,Tyler Zumbach Offensive Rebound.,31,37
14:15,-1,Tyler Zumbach made Layup.,33,37
14:00,-1,Foul on Max Smith Drahos.,33,37
13:51,2460,Adam McDermott missed Three Point Jumper.,33,37
13:51,-1,Trevor Larson Defensive Rebound.,33,37
13:35,-1,Max Smith Drahos Turnover.,33,37
13:34,2460,Juwan McCloud Steal.,33,37
13:28,2460,Juwan McCloud missed Layup.,33,37
13:28,-1,Clifton Brown Defensive Rebound.,33,37
13:08,-1,Clifton Brown made Layup. Assisted by Trevor Larson.,35,37
12:43,2460,Klint Carlson missed Three Point Jumper.,35,37
12:43,-1,Max Smith Drahos Defensive Rebound.,35,37
12:24,-1,Clifton Brown missed Jumper.,35,37
12:24,2460,Spencer Haldeman Defensive Rebound.,35,37
12:11,2460,Juwan McCloud missed Jumper.,35,37
12:11,-1,Tyler Zumbach Defensive Rebound.,35,37
12:00,-1,Trevor Larson missed Three Point Jumper.,35,37
12:00,-1,Clifton Brown Offensive Rebound.,35,37
11:55,-1,Clifton Brown missed Layup.,35,37
11:55,2460,Klint Carlson Defensive Rebound.,35,37
11:49,2460,Northern Iowa  Timeout,35,37
11:34,2460,Miles Wentzien missed Jumper.,35,37
11:34,2460,Bennett Koch Offensive Rebound.,35,37
11:31,-1,Foul on Sawyer Herman.,35,37
11:31,2460,Official TV Timeout,35,37
11:01,2460,Isaiah Brown made Three Point Jumper. Assisted by Adam McDermott.,35,40
10:45,2460,Foul on Bennett Koch.,35,40
10:41,-1,Clifton Brown missed Jumper.,35,40
10:41,2460,Bennett Koch Defensive Rebound.,35,40
10:22,2460,Miles Wentzien missed Layup.,35,40
10:22,-1,Nate Woeste Block.,35,40
10:21,2460,Northern Iowa Offensive Rebound.,35,40
10:15,2460,Isaiah Brown missed Three Point Jumper.,35,40
10:15,-1,Jaran Sabus Defensive Rebound.,35,40
9:59,-1,Nate Woeste missed Three Point Jumper.,35,40
9:59,2460,Bennett Koch Defensive Rebound.,35,40
9:45,-1,Foul on Clifton Brown.,35,40
9:45,2460,Bennett Koch made Free Throw.,35,41
9:45,2460,Bennett Koch made Free Throw.,35,42
9:29,-1,Nate Woeste made Jumper.,37,42
9:08,2460,Bennett Koch made Layup.,37,44
9:08,-1,Foul on Josh Gehling.,37,44
9:08,2460,Bennett Koch made Free Throw.,37,45
9:00,2460,Foul on Miles Wentzien.,37,45
8:58,-1,Josh Gehling Turnover.,37,45
8:57,2460,Spencer Haldeman Steal.,37,45
8:54,-1,Foul on Max Smith Drahos.,37,45
8:54,2460,Spencer Haldeman missed Free Throw.,37,45
8:54,2460,Northern Iowa Deadball Team Rebound.,37,45
8:54,2460,Spencer Haldeman made Free Throw.,37,46
8:40,-1,Max Smith Drahos missed Jumper.,37,46
8:40,2460,Tywhon Pickford Defensive Rebound.,37,46
8:27,2460,Klint Carlson made Jumper.,37,48
8:14,-1,Cam Kickbush Turnover.,37,48
8:13,2460,Adam McDermott Steal.,37,48
8:11,2460,Juwan McCloud missed Layup.,37,48
8:11,2460,Tywhon Pickford Offensive Rebound.,37,48
8:08,2460,Tywhon Pickford made Layup.,37,50
8:04,-1,Cam Kickbush Turnover.,37,50
8:02,2460,Tywhon Pickford Steal.,37,50
7:58,2460,Adam McDermott Turnover.,37,50
7:58,2460,Official TV Timeout,37,50
7:51,2460,Foul on Tywhon Pickford.,37,50
7:51,-1,Jaran Sabus made Free Throw.,38,50
7:51,-1,Jaran Sabus made Free Throw.,39,50
7:29,-1,Foul on Jaran Sabus.,39,50
7:29,2460,Spencer Haldeman made Free Throw.,39,51
7:29,2460,Spencer Haldeman made Free Throw.,39,52
7:02,-1,Jaran Sabus made Layup.,41,52
6:37,2460,Juwan McCloud missed Three Point Jumper.,41,52
6:37,-1,Nate Woeste Defensive Rebound.,41,52
6:24,-1,Ryan Stulken missed Three Point Jumper.,41,52
6:24,-1,Nate Woeste Offensive Rebound.,41,52
6:15,-1,Jaran Sabus missed Layup.,41,52
6:15,2460,Tywhon Pickford Defensive Rebound.,41,52
6:03,-1,Foul on Cam Kickbush.,41,52
6:03,2460,Bennett Koch made Free Throw.,41,53
6:03,2460,Bennett Koch missed Free Throw.,41,53
6:03,-1,Nate Woeste Defensive Rebound.,41,53
5:51,-1,Cam Kickbush missed Three Point Jumper.,41,53
5:51,2460,Bennett Koch Defensive Rebound.,41,53
5:32,2460,Bennett Koch made Layup.,41,55
5:17,-1,Cam Kickbush missed Three Point Jumper.,41,55
5:17,2460,Adam McDermott Defensive Rebound.,41,55
4:59,2460,Bennett Koch made Layup. Assisted by Tywhon Pickford.,41,57
4:44,2460,Foul on Isaiah Brown.,41,57
4:31,-1,Sawyer Herman missed Three Point Jumper.,41,57
4:31,2460,Klint Carlson Defensive Rebound.,41,57
4:14,-1,Foul on Ryan Stulken.,41,57
4:14,2460,Bennett Koch made Free Throw.,41,58
4:14,2460,Bennett Koch made Free Throw.,41,59
4:05,2460,Foul on Adam McDermott.,41,59
4:05,-1,Sawyer Herman made Free Throw.,42,59
4:05,-1,Sawyer Herman made Free Throw.,43,59
3:47,2460,Klint Carlson made Layup.,43,61
3:28,-1,Josh Gehling missed Layup.,43,61
3:28,2460,Tywhon Pickford Defensive Rebound.,43,61
3:07,2460,Bennett Koch made Layup.,43,63
2:53,-1,Josh Gehling missed Layup.,43,63
2:53,2460,Bennett Koch Defensive Rebound.,43,63
2:46,2460,Northern Iowa  Timeout,43,63
2:46,2460,Official TV Timeout,43,63
2:31,2460,Tanner Lohaus missed Jumper.,43,63
2:31,2460,Luke McDonnell Offensive Rebound.,43,63
2:29,2460,Luke McDonnell made Layup.,43,65
2:01,-1,Collin Werkman missed Layup.,43,65
2:01,2460,Tanner Lohaus Defensive Rebound.,43,65
1:52,2460,Luke McDonnell Turnover.,43,65
1:51,-1,Camry Moore Steal.,43,65
1:46,-1,Camry Moore Turnover.,43,65
1:45,2460,Miles Wentzien Steal.,43,65
1:33,2460,Tanner Lohaus made Three Point Jumper. Assisted by Miles Wentzien.,43,68
1:15,-1,Camry Moore missed Layup.,43,68
1:15,2460,Luke McDonnell Block.,43,68
1:12,2460,Miles Wentzien Defensive Rebound.,43,68
1:06,2460,Lincoln Conrey made Jumper.,43,70
0:51,-1,Collin Werkman missed Jumper.,43,70
0:51,2460,Luke McDonnell Block.,43,70
0:50,2460,Luke McDonnell Defensive Rebound.,43,70
0:43,2460,Lincoln Conrey missed Layup.,43,70
0:43,2460,Lincoln Conrey Offensive Rebound.,43,70
0:40,2460,Lincoln Conrey made Layup.,43,72
0:31,-1,Wartburg  Timeout,43,72
0:16,-1,Colten Connelly Turnover.,43,72
0:00,2460,End of Game,43,72
