Jacksonville State,2084,Buffalo,55
2:59,2084,CJ Massinburg made Three Point Jumper. Assisted by Brock Bertram.,26,29
2:57,55,Foul on Ashton Spears.,26,29
2:57,2084,CJ Massinburg made Free Throw.,26,30
2:30,55,Malcolm Drumwright missed Jumper.,26,30
2:30,2084,Dontay Caruthers Defensive Rebound.,26,30
2:05,55,Foul on Ashton Spears.,26,30
2:05,2084,Brock Bertram made Free Throw.,26,31
2:05,2084,Brock Bertram missed Free Throw.,26,31
2:05,55,Norbertas Giga Defensive Rebound.,26,31
1:51,55,Marlon Hunter missed Three Point Jumper.,26,31
1:51,2084,Montell McRae Defensive Rebound.,26,31
1:43,2084,CJ Massinburg missed Jumper.,26,31
1:43,55,Christian Cunningham Defensive Rebound.,26,31
1:23,55,Norbertas Giga made Three Point Jumper. Assisted by Malcolm Drumwright.,29,31
1:04,2084,Dontay Caruthers missed Jumper.,29,31
1:04,55,Norbertas Giga Block.,29,31
1:04,2084,Buffalo Offensive Rebound.,29,31
1:00,2084,Jayvon Graves missed Layup.,29,31
1:00,55,Christian Cunningham Defensive Rebound.,29,31
0:51,55,Norbertas Giga made Three Point Jumper. Assisted by Jason Burnell.,32,31
0:36,2084,CJ Massinburg made Jumper.,32,33
0:27,55,Jacksonville State  Timeout,32,33
0:07,55,Jason Burnell missed Jumper.,32,33
0:07,2084,Dontay Caruthers Defensive Rebound.,32,33
0:00,2084,Jeremy Harris missed Three Point Jumper.,32,33
0:00,55,Christian Cunningham Block.,32,33
0:00,2084,Buffalo Offensive Rebound.,32,33
0:00,2084,End of 1st half,32,33
19:51,55,Norbertas Giga missed Three Point Jumper.,32,33
19:51,2084,Nick Perkins Defensive Rebound.,32,33
19:34,55,Foul on Christian Cunningham.,32,33
19:29,2084,Nick Perkins missed Jumper.,32,33
19:29,2084,Buffalo Offensive Rebound.,32,33
19:20,2084,Nick Perkins missed Three Point Jumper.,32,33
19:20,2084,CJ Massinburg Offensive Rebound.,32,33
19:15,55,Foul on Marlon Hunter.,32,33
19:09,55,Foul on Christian Cunningham.,32,33
19:08,2084,Davonta Jordan Turnover.,32,33
18:46,55,Jamall Gregory missed Jumper.,32,33
18:46,55,Jamall Gregory Offensive Rebound.,32,33
18:33,55,Marlon Hunter missed Jumper.,32,33
18:33,2084,Buffalo Defensive Rebound.,32,33
18:14,2084,Nick Perkins made Three Point Jumper. Assisted by CJ Massinburg.,32,36
17:53,55,Norbertas Giga Turnover.,32,36
17:53,55,Foul on Norbertas Giga.,32,36
17:41,2084,Nick Perkins made Layup. Assisted by CJ Massinburg.,32,38
17:24,2084,Foul on Brock Bertram.,32,38
17:23,2084,Foul on Brock Bertram.,32,38
17:16,55,Jamall Gregory missed Three Point Jumper.,32,38
17:16,2084,Nick Perkins Defensive Rebound.,32,38
17:01,2084,CJ Massinburg missed Three Point Jumper.,32,38
17:01,2084,Davonta Jordan Offensive Rebound.,32,38
16:53,2084,CJ Massinburg made Layup. Assisted by Davonta Jordan.,32,40
16:25,55,Jason Burnell made Layup.,34,40
16:13,2084,Jeremy Harris missed Three Point Jumper.,34,40
16:13,2084,Brock Bertram Offensive Rebound.,34,40
16:10,55,Foul on Malcolm Drumwright.,34,40
15:53,2084,Jeremy Harris missed Three Point Jumper.,34,40
15:53,55,Jamall Gregory Defensive Rebound.,34,40
15:43,2084,Foul on Brock Bertram.,34,40
15:43,2084,Official TV Timeout,34,40
15:43,55,Jamall Gregory made Free Throw.,35,40
15:43,55,Jamall Gregory made Free Throw.,36,40
15:32,2084,Nick Perkins made Layup. Assisted by Dontay Caruthers.,36,42
15:13,55,Norbertas Giga Turnover.,36,42
15:13,55,Foul on Norbertas Giga.,36,42
15:05,55,Foul on Christian Cunningham.,36,42
15:05,2084,Jeremy Harris made Free Throw.,36,43
15:05,2084,Jeremy Harris made Free Throw.,36,44
14:51,55,Norbertas Giga Turnover.,36,44
14:51,55,Foul on Norbertas Giga.,36,44
14:38,2084,Nick Perkins made Layup. Assisted by Jeremy Harris.,36,46
14:28,55,Jacksonville State  Timeout,36,46
14:17,55,Jamall Gregory missed Three Point Jumper.,36,46
14:17,2084,Buffalo Defensive Rebound.,36,46
14:00,2084,Nick Perkins missed Jumper.,36,46
14:00,55,Cam Martin Defensive Rebound.,36,46
13:48,55,Marlon Hunter missed Jumper.,36,46
13:48,2084,Montell McRae Block.,36,46
13:45,2084,Montell McRae Defensive Rebound.,36,46
13:43,2084,Dontay Caruthers Turnover.,36,46
13:41,55,Ashton Spears Steal.,36,46
13:38,2084,Foul on Montell McRae.,36,46
13:38,55,Ashton Spears made Free Throw.,37,46
13:38,55,Ashton Spears made Free Throw.,38,46
13:30,2084,Jayvon Graves missed Layup.,38,46
13:30,2084,Montell McRae Offensive Rebound.,38,46
13:27,2084,Montell McRae made Dunk.,38,48
13:06,55,Ashton Spears missed Three Point Jumper.,38,48
13:06,2084,Davonta Jordan Defensive Rebound.,38,48
12:59,2084,Jeremy Harris missed Three Point Jumper.,38,48
12:59,55,Malcolm Drumwright Defensive Rebound.,38,48
12:47,55,Cam Martin made Layup. Assisted by Jason Burnell.,40,48
12:36,55,Foul on Cam Martin.,40,48
12:36,2084,Davonta Jordan made Free Throw.,40,49
12:36,2084,Davonta Jordan made Free Throw.,40,50
12:19,2084,Foul on Jayvon Graves.,40,50
12:14,55,Maurice Dunlap missed Three Point Jumper.,40,50
12:14,2084,Davonta Jordan Defensive Rebound.,40,50
12:01,2084,Davonta Jordan missed Jumper.,40,50
12:01,55,Jason Burnell Defensive Rebound.,40,50
11:54,55,Cam Martin made Three Point Jumper. Assisted by Maurice Dunlap.,43,50
11:24,2084,Montell McRae made Three Point Jumper. Assisted by Nick Perkins.,43,53
11:04,55,Cam Martin Turnover.,43,53
11:04,55,Foul on Cam Martin.,43,53
11:04,2084,Official TV Timeout,43,53
10:58,55,Foul on Ashton Spears.,43,53
10:58,2084,CJ Massinburg made Free Throw.,43,54
10:58,2084,CJ Massinburg made Free Throw.,43,55
10:32,55,Ashton Spears made Jumper.,45,55
10:13,2084,Nick Perkins missed Jumper.,45,55
10:13,55,Marlon Hunter Defensive Rebound.,45,55
10:05,55,Malcolm Drumwright missed Three Point Jumper.,45,55
10:05,55,Marlon Hunter Offensive Rebound.,45,55
9:59,55,Marlon Hunter made Layup.,47,55
9:27,2084,Nick Perkins made Three Point Jumper. Assisted by CJ Massinburg.,47,58
9:13,55,Cam Martin Turnover.,47,58
9:13,55,Foul on Cam Martin.,47,58
8:54,2084,Nick Perkins missed Three Point Jumper.,47,58
8:54,2084,CJ Massinburg Offensive Rebound.,47,58
8:35,2084,CJ Massinburg missed Three Point Jumper.,47,58
8:35,2084,Brock Bertram Offensive Rebound.,47,58
8:28,2084,Buffalo  Timeout,47,58
8:23,2084,CJ Massinburg missed Jumper.,47,58
8:23,55,Cam Martin Block.,47,58
8:21,55,Cam Martin Defensive Rebound.,47,58
8:08,55,Marlon Hunter made Three Point Jumper. Assisted by Jason Burnell.,50,58
7:54,2084,Davonta Jordan made Layup.,50,60
7:43,55,Malcolm Drumwright made Three Point Jumper.,53,60
7:29,55,Foul on Jamall Gregory.,53,60
7:29,2084,Dontay Caruthers missed Free Throw.,53,60
7:29,2084,Buffalo Deadball Team Rebound.,53,60
7:29,2084,Dontay Caruthers missed Free Throw.,53,60
7:29,55,Cam Martin Defensive Rebound.,53,60
7:20,55,Cam Martin missed Three Point Jumper.,53,60
7:20,2084,Nick Perkins Defensive Rebound.,53,60
7:12,2084,CJ Massinburg missed Three Point Jumper.,53,60
7:12,55,Jacksonville State Defensive Rebound.,53,60
7:00,2084,Foul on Montell McRae.,53,60
6:57,2084,Foul on Davonta Jordan.,53,60
6:57,55,Jamall Gregory missed Free Throw.,53,60
6:57,2084,Nick Perkins Defensive Rebound.,53,60
6:37,2084,Montell McRae Turnover.,53,60
6:37,2084,Foul on Montell McRae.,53,60
6:26,2084,Foul on Davonta Jordan.,53,60
6:26,55,Malcolm Drumwright made Free Throw.,54,60
6:26,55,Malcolm Drumwright made Free Throw.,55,60
6:11,2084,CJ Massinburg made Three Point Jumper. Assisted by Nick Perkins.,55,63
5:55,55,Malcolm Drumwright missed Jumper.,55,63
5:55,55,Jason Burnell Offensive Rebound.,55,63
5:52,55,Jason Burnell missed Layup.,55,63
5:52,2084,Davonta Jordan Block.,55,63
5:51,2084,Jeremy Harris Defensive Rebound.,55,63
5:48,2084,CJ Massinburg made Dunk. Assisted by Jeremy Harris.,55,65
5:44,55,Jacksonville State  Timeout,55,65
5:31,2084,Foul on Nick Perkins.,55,65
5:31,55,Norbertas Giga made Free Throw.,56,65
5:31,55,Norbertas Giga made Free Throw.,57,65
5:17,2084,Dontay Caruthers Turnover.,57,65
5:04,55,Jamall Gregory made Layup.,59,65
4:53,2084,Nick Perkins made Dunk. Assisted by Jeremy Harris.,59,67
4:31,2084,Foul on Jeremy Harris.,59,67
4:31,55,Jamall Gregory missed Free Throw.,59,67
4:31,55,Jacksonville State Deadball Team Rebound.,59,67
4:31,55,Jamall Gregory made Free Throw.,60,67
4:27,2084,Dontay Caruthers made Layup.,60,69
4:07,55,Jason Burnell missed Jumper.,60,69
4:07,55,Christian Cunningham Offensive Rebound.,60,69
4:05,55,Christian Cunningham made Two Point Tip Shot.,62,69
4:02,2084,Nick Perkins Turnover.,62,69
4:01,55,Marlon Hunter Steal.,62,69
3:59,55,Marlon Hunter made Jumper.,64,69
3:50,2084,Official TV Timeout,64,69
3:26,2084,Jeremy Harris made Jumper. Assisted by Dontay Caruthers.,64,71
3:08,55,Marlon Hunter missed Jumper.,64,71
3:08,55,Christian Cunningham Offensive Rebound.,64,71
3:07,2084,Foul on Nick Perkins.,64,71
3:07,55,Christian Cunningham missed Free Throw.,64,71
3:07,55,Jacksonville State Deadball Team Rebound.,64,71
3:07,55,Christian Cunningham missed Free Throw.,64,71
3:07,55,Norbertas Giga Offensive Rebound.,64,71
3:04,2084,Foul on Davonta Jordan.,64,71
3:04,55,Malcolm Drumwright made Free Throw.,65,71
3:04,55,Malcolm Drumwright made Free Throw.,66,71
2:36,2084,CJ Massinburg missed Three Point Jumper.,66,71
2:36,55,Christian Cunningham Defensive Rebound.,66,71
2:23,55,Malcolm Drumwright missed Jumper.,66,71
2:23,2084,Jeremy Harris Block.,66,71
2:21,55,Malcolm Drumwright Offensive Rebound.,66,71
2:14,55,Norbertas Giga missed Jumper.,66,71
2:14,2084,Jeremy Harris Defensive Rebound.,66,71
2:05,2084,Davonta Jordan made Three Point Jumper. Assisted by CJ Massinburg.,66,74
1:37,55,Christian Cunningham missed Layup.,66,74
1:37,2084,Jeremy Harris Defensive Rebound.,66,74
1:29,55,Foul on Malcolm Drumwright.,66,74
1:29,2084,Dontay Caruthers missed Free Throw.,66,74
1:29,2084,Buffalo Deadball Team Rebound.,66,74
1:29,2084,Dontay Caruthers made Free Throw.,66,75
1:19,55,Malcolm Drumwright made Three Point Jumper. Assisted by Marlon Hunter.,69,75
1:17,55,Jacksonville State  Timeout,69,75
0:56,2084,CJ Massinburg Turnover.,69,75
0:54,55,Malcolm Drumwright Steal.,69,75
0:51,2084,Foul on Jeremy Harris.,69,75
0:51,55,Jamall Gregory missed Free Throw.,69,75
0:51,55,Jacksonville State Deadball Team Rebound.,69,75
0:51,55,Jamall Gregory made Free Throw.,70,75
0:40,2084,Nick Perkins Turnover.,70,75
0:37,2084,Foul on Jeremy Harris.,70,75
0:37,55,Jamall Gregory made Free Throw.,71,75
0:37,55,Jamall Gregory missed Free Throw.,71,75
0:37,55,Jamall Gregory Offensive Rebound.,71,75
0:29,2084,Foul on Jeremy Harris.,71,75
0:29,55,Christian Cunningham missed Free Throw.,71,75
0:29,55,Jacksonville State Deadball Team Rebound.,71,75
0:29,55,Christian Cunningham missed Free Throw.,71,75
0:29,2084,CJ Massinburg Defensive Rebound.,71,75
0:22,55,Foul on Marlon Hunter.,71,75
0:22,2084,Dontay Caruthers made Free Throw.,71,76
0:22,2084,Dontay Caruthers made Free Throw.,71,77
0:15,55,Malcolm Drumwright missed Jumper.,71,77
0:15,2084,James Reese Defensive Rebound.,71,77
0:14,55,Foul on Jamall Gregory.,71,77
0:14,2084,James Reese made Free Throw.,71,78
0:14,2084,James Reese made Free Throw.,71,79
0:07,55,Malcolm Drumwright made Jumper.,73,79
0:05,55,Foul on Jamall Gregory.,73,79
0:05,2084,CJ Massinburg made Free Throw.,73,80
0:05,2084,CJ Massinburg made Free Throw.,73,81
0:00,55,Ashton Spears made Three Point Jumper.,76,81
0:00,2084,End of Game,73,79
