Fairleigh Dickinson,288,Lipscomb,161
7:51,288,Nathan Moran made Three Point Jumper. Assisted by Eli Pepper.,18,18
7:30,161,Mike Holloway missed Jumper.,18,18
7:30,288,Garrison Mathews Defensive Rebound.,18,18
7:19,288,George Brammeier made Layup. Assisted by Aaron Korn.,18,20
6:50,161,Stephan Jiggetts missed Jumper.,18,20
6:50,288,Eli Pepper Defensive Rebound.,18,20
6:43,288,Aaron Korn made Three Point Jumper. Assisted by Nathan Moran.,18,23
6:22,161,Darnell Edge missed Three Point Jumper.,18,23
6:22,288,Eli Pepper Defensive Rebound.,18,23
6:16,288,Nathan Moran made Three Point Jumper.,18,26
5:53,161,Dondre Rhoden made Layup. Assisted by Mike Holloway.,20,26
5:42,288,Eli Pepper Turnover.,20,26
5:42,288,Official TV Timeout,20,26
5:28,161,Mike Holloway missed Jumper.,20,26
5:28,288,Nathan Moran Defensive Rebound.,20,26
5:18,161,Foul on Nadi Beciri.,20,26
5:18,288,Garrison Mathews missed Free Throw.,20,26
5:18,161,Stephan Jiggetts Defensive Rebound.,20,26
5:01,161,Darian Anderson made Three Point Jumper. Assisted by Stephan Jiggetts.,23,26
4:52,288,Garrison Mathews made Three Point Jumper. Assisted by Kenny Cooper.,23,29
4:34,161,Darian Anderson made Jumper.,25,29
4:13,288,Kenny Cooper missed Three Point Jumper.,25,29
4:13,161,Stephan Jiggetts Defensive Rebound.,25,29
4:10,288,Foul on Garrison Mathews.,25,29
4:10,161,Stephan Jiggetts made Free Throw.,26,29
4:10,161,Stephan Jiggetts made Free Throw.,27,29
3:57,288,Nathan Moran Turnover.,27,29
3:53,288,Official TV Timeout,27,29
3:45,161,Foul on Stephan Jiggetts.,27,29
3:45,161,Stephan Jiggetts Turnover.,27,29
3:09,288,Michael Buckland Turnover.,27,29
2:52,161,Malik Miller made Layup. Assisted by Darnell Edge.,29,29
2:35,288,Eli Pepper missed Three Point Jumper.,29,29
2:35,288,Aaron Korn Offensive Rebound.,29,29
2:33,288,Aaron Korn missed Layup.,29,29
2:32,288,Aaron Korn Offensive Rebound.,29,29
2:31,288,Aaron Korn made Layup.,29,31
2:06,161,Mike Holloway made Layup.,31,31
1:57,288,George Brammeier made Layup.,31,33
1:36,161,Malik Miller missed Layup.,31,33
1:36,288,Eli Pepper Defensive Rebound.,31,33
1:25,288,Michael Buckland missed Three Point Jumper.,31,33
1:25,161,Darnell Edge Defensive Rebound.,31,33
1:12,161,Fairleigh Dickinson  Timeout,31,33
0:57,161,Kaleb Bishop made Free Throw.,32,33
0:57,288,Foul on Eli Pepper.,32,33
0:57,161,Kaleb Bishop missed Free Throw.,32,33
0:57,161,Fairleigh Dickinson Deadball Team Rebound.,32,33
0:44,288,Brett Wishon Turnover.,32,33
0:43,161,Darnell Edge Steal.,32,33
0:38,161,Darnell Edge missed Layup.,32,33
0:38,288,Kenny Cooper Block.,32,33
0:35,288,Kenny Cooper Defensive Rebound.,32,33
0:19,288,Kenny Cooper Turnover.,32,33
0:09,161,Darnell Edge Steal.,32,33
0:05,161,Stephan Jiggetts missed Three Point Jumper.,32,33
0:05,288,Brett Wishon Defensive Rebound.,32,33
0:00,288,End of 1st half,32,33
19:46,161,Darian Anderson made Layup.,34,33
19:35,288,Josh Williams missed Three Point Jumper.,34,33
19:35,288,Garrison Mathews Offensive Rebound.,34,33
19:31,288,Garrison Mathews made Layup.,34,35
19:09,161,Mike Holloway missed Jumper.,34,35
19:09,161,Malik Miller Offensive Rebound.,34,35
19:08,288,Foul on Eli Pepper.,34,35
19:08,161,Malik Miller made Free Throw.,35,35
19:08,161,Malik Miller made Free Throw.,36,35
18:50,288,Rob Marberry Turnover.,36,35
18:49,161,Darnell Edge Steal.,36,35
18:37,288,Foul on Rob Marberry.,36,35
18:37,161,Malik Miller missed Free Throw.,36,35
18:37,161,Fairleigh Dickinson Deadball Team Rebound.,36,35
18:37,161,Malik Miller made Free Throw.,37,35
18:18,288,Rob Marberry Turnover.,37,35
18:14,161,Mike Holloway Steal.,37,35
18:09,161,Stephan Jiggetts made Layup.,39,35
18:04,288,Rob Marberry missed Layup.,39,35
18:04,161,Malik Miller Block.,39,35
18:03,161,Mike Holloway Defensive Rebound.,39,35
17:58,161,Darian Anderson made Layup. Assisted by Stephan Jiggetts.,41,35
17:50,161,Foul on Mike Holloway.,41,35
17:47,288,Garrison Mathews missed Three Point Jumper.,41,35
17:47,161,Darian Anderson Defensive Rebound.,41,35
17:25,161,Mike Holloway made Layup. Assisted by Stephan Jiggetts.,43,35
17:18,288,Lipscomb  Timeout,43,35
17:18,288,Official TV Timeout,43,35
17:07,288,Josh Williams made Three Point Jumper. Assisted by Michael Buckland.,43,38
16:49,288,Foul on George Brammeier.,43,38
16:49,161,Mike Holloway made Free Throw.,44,38
16:49,161,Mike Holloway made Free Throw.,45,38
16:34,288,Michael Buckland missed Three Point Jumper.,45,38
16:33,161,Darnell Edge Defensive Rebound.,45,38
16:20,161,Darian Anderson made Three Point Jumper. Assisted by Stephan Jiggetts.,48,38
16:15,288,Garrison Mathews Turnover.,48,38
16:11,161,Mike Holloway made Layup.,50,38
15:58,288,Nathan Moran missed Three Point Jumper.,50,38
15:58,288,Josh Williams Offensive Rebound.,50,38
15:52,288,Official TV Timeout,50,38
15:49,288,Nathan Moran Turnover.,50,38
15:43,161,Mike Holloway Steal.,50,38
15:40,161,Darnell Edge made Layup. Assisted by Mike Holloway.,52,38
15:35,288,Josh Williams missed Layup.,52,38
15:35,161,Malik Miller Defensive Rebound.,52,38
15:30,161,Malik Miller Turnover.,52,38
15:28,288,Aaron Korn Steal.,52,38
15:24,288,Josh Williams made Three Point Jumper. Assisted by Nathan Moran.,52,41
15:03,161,Stephan Jiggetts made Three Point Jumper. Assisted by DaRon Curry.,55,41
14:55,288,Josh Williams missed Jumper.,55,41
14:55,288,Lipscomb Offensive Rebound.,55,41
14:49,288,Josh Williams missed Three Point Jumper.,55,41
14:49,161,Stephan Jiggetts Defensive Rebound.,55,41
14:38,161,Mike Holloway Turnover.,55,41
14:21,288,Nathan Moran missed Three Point Jumper.,55,41
14:21,161,Darnell Edge Defensive Rebound.,55,41
14:09,288,Foul on Nathan Moran.,55,41
14:09,161,Mike Holloway missed Free Throw.,55,41
14:09,161,Fairleigh Dickinson Deadball Team Rebound.,55,41
14:09,161,Mike Holloway missed Free Throw.,55,41
14:09,288,Rob Marberry Defensive Rebound.,55,41
13:54,288,Josh Williams missed Three Point Jumper.,55,41
13:54,288,Eli Pepper Offensive Rebound.,55,41
13:50,161,Foul on Malik Miller.,55,41
13:50,288,Eli Pepper made Free Throw.,55,42
13:50,288,Eli Pepper made Free Throw.,55,43
13:36,161,Darian Anderson missed Jumper.,55,43
13:36,288,Eli Pepper Defensive Rebound.,55,43
13:33,161,Foul on Darian Anderson.,55,43
13:22,161,Foul on Malik Miller.,55,43
13:22,288,Eli Pepper missed Free Throw.,55,43
13:22,288,Lipscomb Deadball Team Rebound.,55,43
13:22,288,Eli Pepper missed Free Throw.,55,43
13:22,161,Darian Anderson Defensive Rebound.,55,43
13:21,288,Foul on Eli Pepper.,55,43
12:57,161,Kaleb Bishop made Dunk. Assisted by Stephan Jiggetts.,57,43
12:51,161,Foul on Nadi Beciri.,57,43
12:49,288,Josh Williams missed Layup.,57,43
12:49,161,DaRon Curry Defensive Rebound.,57,43
12:20,161,Darian Anderson Turnover.,57,43
12:18,288,Aaron Korn Steal.,57,43
12:17,288,Aaron Korn Turnover.,57,43
12:17,288,Foul on Aaron Korn.,57,43
11:51,161,Darian Anderson made Jumper.,59,43
11:40,161,Foul on Darian Anderson.,59,43
11:40,288,Official TV Timeout,59,43
11:12,161,Foul on Darnell Edge.,59,43
11:12,288,Josh Williams made Free Throw.,59,44
11:12,288,Josh Williams made Free Throw.,59,45
11:01,161,Darnell Edge made Layup.,61,45
10:51,288,George Brammeier made Layup. Assisted by Josh Williams.,61,47
10:51,161,Foul on Mike Holloway.,61,47
10:51,288,George Brammeier made Free Throw.,61,48
10:29,161,Mike Holloway made Layup. Assisted by Stephan Jiggetts.,63,48
10:12,288,George Brammeier made Layup. Assisted by Josh Williams.,63,50
9:54,161,Stephan Jiggetts made Three Point Jumper. Assisted by Darian Anderson.,66,50
9:29,288,Josh Williams Turnover.,66,50
9:08,161,Darian Anderson made Jumper.,68,50
8:52,161,Foul on Dondre Rhoden.,68,50
8:52,288,George Brammeier made Free Throw.,68,51
8:52,288,George Brammeier made Free Throw.,68,52
8:26,161,Stephan Jiggetts missed Three Point Jumper.,68,52
8:26,161,Kaleb Bishop Offensive Rebound.,68,52
8:18,161,Kaleb Bishop missed Layup.,68,52
8:18,288,Eli Pepper Defensive Rebound.,68,52
8:17,161,Foul on Darnell Edge.,68,52
8:17,288,Eli Pepper made Free Throw.,68,53
8:17,288,Eli Pepper made Free Throw.,68,54
7:53,288,Foul on Aaron Korn.,68,54
7:53,288,Official TV Timeout,68,54
7:53,161,Darian Anderson made Free Throw.,69,54
7:53,161,Darian Anderson made Free Throw.,70,54
7:36,288,Garrison Mathews made Layup.,70,56
7:17,288,Foul on Nathan Moran.,70,56
7:17,161,Stephan Jiggetts missed Free Throw.,70,56
7:17,288,Aaron Korn Defensive Rebound.,70,56
7:01,288,Garrison Mathews missed Three Point Jumper.,70,56
7:01,288,George Brammeier Offensive Rebound.,70,56
6:57,288,Nathan Moran missed Three Point Jumper.,70,56
6:57,288,Aaron Korn Offensive Rebound.,70,56
6:48,288,Aaron Korn made Layup.,70,58
6:25,161,Darnell Edge Turnover.,70,58
6:25,161,Foul on Darnell Edge.,70,58
6:12,288,Garrison Mathews made Layup. Assisted by Josh Williams.,70,60
5:51,161,Mike Holloway made Dunk. Assisted by Stephan Jiggetts.,72,60
5:41,288,George Brammeier Turnover.,72,60
5:36,161,Mike Holloway Steal.,72,60
5:24,161,Stephan Jiggetts missed Three Point Jumper.,72,60
5:24,288,Lipscomb Defensive Rebound.,72,60
5:10,288,Garrison Mathews Turnover.,72,60
5:10,288,Foul on Garrison Mathews.,72,60
4:55,161,Darian Anderson made Three Point Jumper. Assisted by Stephan Jiggetts.,75,60
4:36,288,Nathan Moran missed Three Point Jumper.,75,60
4:36,288,Nathan Moran Offensive Rebound.,75,60
4:33,161,Foul on Malik Miller.,75,60
4:33,288,Nathan Moran made Free Throw.,75,61
4:33,288,Nathan Moran missed Free Throw.,75,61
4:33,161,Darian Anderson Defensive Rebound.,75,61
4:13,161,Stephan Jiggetts Turnover.,75,61
4:13,161,Foul on Stephan Jiggetts.,75,61
4:00,288,Josh Williams Turnover.,75,61
3:56,288,Foul on Aaron Korn.,75,61
3:56,288,Official TV Timeout,75,61
3:56,161,Darian Anderson made Free Throw.,76,61
3:56,161,Darian Anderson made Free Throw.,77,61
3:38,161,Foul on Darian Anderson.,77,61
3:38,288,Rob Marberry made Free Throw.,77,62
3:38,288,Rob Marberry made Free Throw.,77,63
3:15,288,Foul on Rob Marberry.,77,63
3:15,161,Darian Anderson made Free Throw.,78,63
3:15,161,Darian Anderson made Free Throw.,79,63
2:57,288,Kenny Cooper missed Layup.,79,63
2:57,161,Stephan Jiggetts Defensive Rebound.,79,63
2:32,161,Stephan Jiggetts Turnover.,79,63
2:25,288,Garrison Mathews made Layup. Assisted by Kenny Cooper.,79,65
1:52,161,Darian Anderson made Three Point Jumper. Assisted by Kaleb Bishop.,82,65
1:39,288,Garrison Mathews missed Three Point Jumper.,82,65
1:39,288,Lipscomb Offensive Rebound.,82,65
1:33,288,Aaron Korn missed Three Point Jumper.,82,65
1:33,288,Josh Williams Offensive Rebound.,82,65
1:30,161,Foul on Kaleb Bishop.,82,65
1:30,288,Josh Williams made Free Throw.,82,66
1:30,288,Josh Williams made Free Throw.,82,67
1:25,288,Foul on Josh Williams.,82,67
1:25,161,Stephan Jiggetts made Free Throw.,83,67
1:25,161,Stephan Jiggetts made Free Throw.,84,67
1:19,288,Kenny Cooper missed Layup.,84,67
1:19,161,Nadi Beciri Defensive Rebound.,84,67
1:12,288,Foul on Michael Buckland.,84,67
1:12,161,Stephan Jiggetts missed Free Throw.,84,67
1:12,161,Fairleigh Dickinson Deadball Team Rebound.,84,67
1:12,161,Stephan Jiggetts made Free Throw.,85,67
1:08,288,Aaron Korn missed Three Point Jumper.,85,67
1:08,288,Garrison Mathews Offensive Rebound.,85,67
1:02,161,Foul on Nadi Beciri.,85,67
1:02,288,Garrison Mathews made Free Throw.,85,68
1:02,288,Garrison Mathews made Free Throw.,85,69
1:02,288,Foul on Kenny Cooper.,85,69
1:02,161,Stephan Jiggetts made Free Throw.,86,69
1:02,161,Stephan Jiggetts missed Free Throw.,86,69
1:02,288,Garrison Mathews Defensive Rebound.,86,69
0:57,288,Michael Buckland missed Three Point Jumper.,86,69
0:57,161,Stephan Jiggetts Defensive Rebound.,86,69
0:49,161,Mike Holloway made Layup. Assisted by Stephan Jiggetts.,88,69
0:42,288,Garrison Mathews missed Three Point Jumper.,88,69
0:42,161,Stephan Jiggetts Defensive Rebound.,88,69
0:11,161,Mike Schroback made Jumper.,90,69
0:05,288,Kenny Cooper made Three Point Jumper.,90,72
0:00,288,End of Game,90,72
