Benedictine (AZ),3084,Utah Valley,110031
0:05,-1,Richie Thornton V Defensive Rebound.,30,43
0:02,3084,Foul on Joonas Tahvanainen.,30,43
0:02,-1,Richie Thornton V made Free Throw.,31,43
0:02,-1,Richie Thornton V made Free Throw.,32,43
0:01,3084,Joonas Tahvanainen Turnover.,32,43
0:00,-1,Jorge Cano Steal.,32,43
0:00,3084,End of 1st half,32,43
19:52,-1,Richie Thornton V missed Layup.,32,43
19:52,3084,Conner Toolson Block.,32,43
19:50,3084,Brandon Randolph Defensive Rebound.,32,43
19:46,3084,Kenneth Ogbe made Layup. Assisted by Brandon Randolph.,32,45
19:40,-1,Joe Baldi missed Three Point Jumper.,32,45
19:40,3084,Zach Nelson Defensive Rebound.,32,45
19:33,3084,Brandon Randolph missed Layup.,32,45
19:33,-1,Carter Aby Block.,32,45
19:31,3084,Brandon Randolph Offensive Rebound.,32,45
19:26,3084,Kenneth Ogbe made Three Point Jumper. Assisted by Zach Nelson.,32,48
19:07,-1,Joe Baldi Turnover.,32,48
19:07,3084,Conner Toolson Steal.,32,48
19:03,3084,Brandon Randolph made Dunk. Assisted by Isaac Neilson.,32,50
18:59,-1,Benedictine (AZ)  Timeout,32,50
18:34,-1,Richie Thornton V missed Three Point Jumper.,32,50
18:34,3084,Kenneth Ogbe Defensive Rebound.,32,50
18:22,3084,Brandon Randolph made Three Point Jumper. Assisted by Conner Toolson.,32,53
17:59,-1,Benedictine (AZ)  Timeout,32,53
17:57,-1,Jorge Cano Turnover.,32,53
17:55,3084,Brandon Randolph Steal.,32,53
17:51,3084,Conner Toolson missed Three Point Jumper.,32,53
17:51,3084,Isaac Neilson Offensive Rebound.,32,53
17:44,3084,Zach Nelson missed Three Point Jumper.,32,53
17:44,-1,Carter Aby Defensive Rebound.,32,53
17:29,-1,Devin White made Layup.,34,53
17:16,3084,Brandon Randolph made Three Point Jumper. Assisted by Kenneth Ogbe.,34,56
17:02,3084,Foul on Kenneth Ogbe.,34,56
16:56,-1,Troy Conley missed Three Point Jumper.,34,56
16:56,3084,Conner Toolson Block.,34,56
16:54,-1,Brandon Dixon Offensive Rebound.,34,56
16:47,-1,Troy Conley Turnover.,34,56
16:47,3084,Conner Toolson Steal.,34,56
16:27,3084,Brandon Randolph missed Three Point Jumper.,34,56
16:27,3084,Utah Valley Offensive Rebound.,34,56
16:12,-1,Foul on Monnard Brown.,34,56
16:12,3084,Isaac Neilson made Free Throw.,34,57
16:12,3084,Isaac Neilson missed Free Throw.,34,57
16:12,3084,Zach Nelson Offensive Rebound.,34,57
15:59,3084,Zach Nelson missed Three Point Jumper.,34,57
15:59,3084,Isaac Neilson Offensive Rebound.,34,57
15:55,3084,Isaac Neilson made Layup.,34,59
15:41,-1,Devin White missed Layup.,34,59
15:41,3084,Isaac Neilson Block.,34,59
15:40,-1,Benedictine (AZ) Offensive Rebound.,34,59
15:40,3084,Official TV Timeout,34,59
15:39,-1,Troy Conley missed Three Point Jumper.,34,59
15:39,3084,Zach Nelson Defensive Rebound.,34,59
15:21,3084,Brandon Randolph missed Three Point Jumper.,34,59
15:21,-1,Devin White Defensive Rebound.,34,59
14:49,-1,Devin White missed Layup.,34,59
