Trinity Baptist,Error,Furman,231
15:15,-1,Gary Mims Defensive Rebound.,5,20
15:11,-1,Darnel Antoine missed Jumper.,5,20
15:11,231,Daniel Fowler Defensive Rebound.,5,20
15:02,231,John Davis III made Three Point Jumper. Assisted by Andrew Brown.,5,23
14:42,-1,Gary Mims missed Jumper.,5,23
14:42,231,Daniel Fowler Defensive Rebound.,5,23
14:30,231,Kris Acox made Dunk. Assisted by Andrew Brown.,5,25
14:11,231,Official TV Timeout,5,25
14:02,-1,Marquis Duncanson Turnover.,5,25
13:45,231,Geoff Beans missed Three Point Jumper.,5,25
13:45,231,Andrew Brown Offensive Rebound.,5,25
13:38,231,Jordan Lyons missed Three Point Jumper.,5,25
13:38,-1,Gary Mims Defensive Rebound.,5,25
13:20,-1,Ezra Howard missed Three Point Jumper.,5,25
13:20,231,Jordan Lyons Defensive Rebound.,5,25
13:12,-1,Foul on Nakea Gibson.,5,25
13:12,231,Jalen Williams made Free Throw.,5,26
13:12,231,Jalen Williams missed Free Throw.,5,26
13:12,-1,Caleb Jones Defensive Rebound.,5,26
12:59,-1,Ezra Howard Turnover.,5,26
12:59,-1,Foul on Ezra Howard.,5,26
12:40,231,Jalen Williams Turnover.,5,26
12:25,-1,Marquis Duncanson missed Three Point Jumper.,5,26
12:25,231,Jordan Lyons Defensive Rebound.,5,26
12:13,231,Jordan Lyons made Three Point Jumper. Assisted by Tre Clark.,5,29
11:52,-1,Caleb Jones made Jumper.,7,29
11:39,231,Jalen Williams missed Jumper.,7,29
11:39,231,Jalen Williams Offensive Rebound.,7,29
11:36,231,Jalen Williams made Layup.,7,31
11:23,231,Foul on Jordan Lyons.,7,31
11:23,231,Official TV Timeout,7,31
11:21,-1,Gary Mims missed Jumper.,7,31
11:21,231,Jordan Lyons Defensive Rebound.,7,31
11:10,231,Jalen Williams made Layup. Assisted by Jonathan Jean.,7,33
10:55,-1,Marquis Duncanson missed Three Point Jumper.,7,33
10:55,231,Jordan Lyons Defensive Rebound.,7,33
10:52,-1,Foul on Brandon Tucker.,7,33
10:32,231,Jordan Lyons missed Three Point Jumper.,7,33
10:32,-1,Zack Norris Defensive Rebound.,7,33
10:17,-1,Brandon Tucker missed Layup.,7,33
10:17,-1,Brandon Tucker Offensive Rebound.,7,33
10:14,-1,Brandon Tucker made Layup.,9,33
9:57,231,Jalen Williams Turnover.,9,33
9:56,-1,Gary Mims Steal.,9,33
9:52,-1,Gary Mims missed Jumper.,9,33
9:52,231,Jalen Williams Defensive Rebound.,9,33
9:46,231,Jordan Lyons made Three Point Jumper. Assisted by Jonathan Jean.,9,36
9:29,-1,Gary Mims missed Three Point Jumper.,9,36
9:29,231,Matt Rafferty Defensive Rebound.,9,36
9:02,231,Jordan Lyons missed Three Point Jumper.,9,36
9:02,-1,Ernest Johnson Defensive Rebound.,9,36
8:49,-1,Brandon Tucker missed Three Point Jumper.,9,36
8:49,231,Furman Defensive Rebound.,9,36
8:17,231,Tre Clark Turnover.,9,36
8:17,-1,Nakea Gibson Steal.,9,36
8:03,-1,Ernest Johnson Turnover.,9,36
8:03,231,Daniel Fowler Steal.,9,36
8:00,231,Daniel Fowler Turnover.,9,36
7:34,-1,Darnel Antoine Turnover.,9,36
7:34,231,Jonathan Jean Steal.,9,36
7:29,231,Kris Acox made Dunk. Assisted by Daniel Fowler.,9,38
7:13,-1,Ernest Johnson missed Jumper.,9,38
7:13,-1,Trinity Baptist Offensive Rebound.,9,38
7:12,231,Foul on Matt Rafferty.,9,38
7:12,231,Official TV Timeout,9,38
7:12,-1,Ernest Johnson made Free Throw.,10,38
7:12,-1,Ernest Johnson made Free Throw.,11,38
7:00,231,Andrew Brown made Three Point Jumper. Assisted by Daniel Fowler.,11,41
6:34,-1,Ernest Johnson Turnover.,11,41
6:33,231,Daniel Fowler Steal.,11,41
6:30,-1,Foul on Ezra Howard.,11,41
6:30,231,Daniel Fowler made Free Throw.,11,42
6:30,231,Daniel Fowler made Free Throw.,11,43
6:09,-1,Darnel Antoine Turnover.,11,43
5:52,231,Kris Acox missed Layup.,11,43
5:52,-1,Nakea Gibson Defensive Rebound.,11,43
5:33,-1,Marcus Dixon Turnover.,11,43
5:32,231,John Davis III Steal.,11,43
5:25,231,Daniel Fowler missed Three Point Jumper.,11,43
5:25,231,Andrew Brown Offensive Rebound.,11,43
5:07,231,Geoff Beans made Three Point Jumper. Assisted by Kris Acox.,11,46
4:45,-1,Marquel Perry missed Jumper.,11,46
4:45,231,Daniel Fowler Defensive Rebound.,11,46
4:28,231,Geoff Beans made Three Point Jumper. Assisted by Daniel Fowler.,11,49
4:04,-1,Darnel Antoine Turnover.,11,49
4:03,231,Daniel Fowler Steal.,11,49
4:00,231,John Davis III made Layup. Assisted by Daniel Fowler.,11,51
3:47,-1,Ernest Johnson Turnover.,11,51
3:45,231,Kris Acox Steal.,11,51
3:43,231,John Davis III made Layup. Assisted by Andrew Brown.,11,53
3:42,-1,Trinity Baptist  Timeout,11,53
3:24,-1,Marquel Perry missed Three Point Jumper.,11,53
3:24,231,Jordan Lyons Defensive Rebound.,11,53
2:57,-1,Foul on Ernest Johnson.,11,53
2:57,231,Tre Clark missed Free Throw.,11,53
2:57,231,Furman Deadball Team Rebound.,11,53
2:57,231,Tre Clark made Free Throw.,11,54
2:47,-1,Ezra Howard made Three Point Jumper. Assisted by Gary Mims.,14,54
2:22,231,Tre Clark missed Three Point Jumper.,14,54
2:22,-1,Ernest Johnson Defensive Rebound.,14,54
2:19,231,Foul on Jalen Williams.,14,54
2:10,-1,Ezra Howard made Three Point Jumper. Assisted by Marquis Duncanson.,17,54
2:06,231,Furman  Timeout,17,54
1:52,231,Jordan Lyons missed Three Point Jumper.,17,54
1:52,231,Jalen Williams Offensive Rebound.,17,54
1:45,231,Matt Rafferty missed Three Point Jumper.,17,54
1:45,231,Jalen Williams Offensive Rebound.,17,54
1:42,-1,Foul on Marquis Duncanson.,17,54
1:42,231,Jalen Williams made Free Throw.,17,55
1:42,231,Jalen Williams missed Free Throw.,17,55
1:42,-1,Ernest Johnson Defensive Rebound.,17,55
1:41,231,Foul on Tre Clark.,17,55
1:29,-1,Zack Norris missed Three Point Jumper.,17,55
1:29,231,Tre Clark Block.,17,55
1:27,231,Jonathan Jean Defensive Rebound.,17,55
1:22,231,Jordan Lyons made Three Point Jumper. Assisted by Jonathan Jean.,17,58
1:08,-1,Marquis Duncanson missed Three Point Jumper.,17,58
1:08,231,Furman Defensive Rebound.,17,58
0:50,-1,Foul on Ernest Johnson.,17,58
0:50,231,Tre Clark missed Free Throw.,17,58
0:50,231,Furman Deadball Team Rebound.,17,58
0:50,231,Tre Clark missed Free Throw.,17,58
0:50,231,Matt Rafferty Offensive Rebound.,17,58
0:46,231,Matt Rafferty made Layup.,17,60
0:31,-1,Ezra Howard Turnover.,17,60
0:30,231,Jalen Williams Steal.,17,60
0:25,231,Tre Clark missed Layup.,17,60
0:25,-1,Ezra Howard Defensive Rebound.,17,60
0:17,-1,Gary Mims missed Jumper.,17,60
0:17,231,Jalen Williams Defensive Rebound.,17,60
0:00,231,Jonathan Jean missed Jumper.,17,60
0:00,-1,Gary Mims Defensive Rebound.,17,60
0:00,231,End of 1st half,17,60
19:47,231,Andrew Brown made Layup. Assisted by Kris Acox.,17,62
19:27,-1,Caleb Jones made Three Point Jumper. Assisted by Ezra Howard.,20,62
19:08,231,John Davis III missed Jumper.,20,62
19:08,-1,Gary Mims Defensive Rebound.,20,62
18:50,-1,Gary Mims missed Three Point Jumper.,20,62
18:50,231,Kris Acox Defensive Rebound.,20,62
18:31,-1,Foul on Ernest Johnson.,20,62
18:19,231,Geoff Beans missed Jumper.,20,62
18:19,231,Kris Acox Offensive Rebound.,20,62
18:15,231,Kris Acox made Layup.,20,64
17:56,-1,Caleb Jones Turnover.,20,64
17:55,231,Daniel Fowler Steal.,20,64
17:51,231,Daniel Fowler made Layup.,20,66
17:20,-1,Ezra Howard made Three Point Jumper. Assisted by Ernest Johnson.,23,66
17:00,231,Geoff Beans missed Three Point Jumper.,23,66
17:00,231,Andrew Brown Offensive Rebound.,23,66
16:47,-1,Foul on Gary Mims.,23,66
16:34,231,Andrew Brown Turnover.,23,66
16:33,-1,Caleb Jones Steal.,23,66
16:15,-1,Brandon Tucker missed Jumper.,23,66
16:15,-1,Gary Mims Offensive Rebound.,23,66
16:10,-1,Gary Mims missed Jumper.,23,66
16:10,231,Kris Acox Defensive Rebound.,23,66
16:07,231,Daniel Fowler missed Layup.,23,66
16:07,-1,Ezra Howard Block.,23,66
16:05,-1,Brandon Tucker Defensive Rebound.,23,66
16:01,231,Foul on Kris Acox.,23,66
16:01,-1,Brandon Tucker missed Free Throw.,23,66
16:01,-1,Trinity Baptist Deadball Team Rebound.,23,66
16:01,-1,Brandon Tucker missed Free Throw.,23,66
16:01,231,Geoff Beans Defensive Rebound.,23,66
15:47,231,Kris Acox made Jumper.,23,68
15:32,231,Foul on Andrew Brown.,23,68
15:32,231,Official TV Timeout,23,68
15:14,-1,Ezra Howard missed Three Point Jumper.,23,68
15:14,231,John Davis III Defensive Rebound.,23,68
15:06,231,Andrew Brown made Three Point Jumper. Assisted by John Davis III.,23,71
14:47,-1,Gary Mims made Layup.,25,71
14:33,-1,Foul on Zack Norris.,25,71
14:33,231,Matt Rafferty missed Free Throw.,25,71
14:33,231,Furman Deadball Team Rebound.,25,71
14:33,231,Matt Rafferty made Free Throw.,25,72
14:15,-1,Marcus Dixon missed Jumper.,25,72
14:15,231,Jordan Lyons Defensive Rebound.,25,72
14:04,-1,Foul on Marcus Dixon.,25,72
14:04,231,Matt Rafferty made Free Throw.,25,73
14:04,231,Matt Rafferty made Free Throw.,25,74
13:54,-1,Brandon Tucker made Three Point Jumper. Assisted by Marquel Perry.,28,74
13:37,231,John Davis III Turnover.,28,74
13:36,-1,Brandon Tucker Steal.,28,74
13:19,-1,Zack Norris missed Three Point Jumper.,28,74
13:19,231,John Davis III Defensive Rebound.,28,74
13:11,231,Geoff Beans made Three Point Jumper. Assisted by John Davis III.,28,77
12:46,-1,Darnel Antoine Turnover.,28,77
12:46,231,Jordan Lyons Steal.,28,77
12:43,231,Jordan Lyons made Layup.,28,79
12:34,-1,Zack Norris Turnover.,28,79
12:34,-1,Foul on Zack Norris.,28,79
12:16,-1,Foul on Marquis Duncanson.,28,79
12:09,231,Jalen Williams made Jumper.,28,81
11:55,-1,Zack Norris made Three Point Jumper. Assisted by Marquis Duncanson.,31,81
11:42,-1,Foul on Omar Scott.,31,81
11:42,231,Official TV Timeout,31,81
11:42,231,Tre Clark made Free Throw.,31,82
11:42,231,Tre Clark made Free Throw.,31,83
11:26,231,Foul on Tre Clark.,31,83
11:17,-1,Marquis Duncanson Turnover.,31,83
11:16,231,Jonathan Jean Steal.,31,83
11:13,231,Jonathan Jean made Layup.,31,85
11:13,-1,Foul on Ernest Johnson.,31,85
11:13,231,Jonathan Jean missed Free Throw.,31,85
11:13,-1,Ernest Johnson Defensive Rebound.,31,85
11:12,231,Foul on Jalen Williams.,31,85
10:58,231,Foul on Jonathan Jean.,31,85
10:58,-1,Marquis Duncanson missed Free Throw.,31,85
10:58,-1,Trinity Baptist Deadball Team Rebound.,31,85
10:58,-1,Marquis Duncanson made Free Throw.,32,85
10:49,231,Jonathan Jean made Layup. Assisted by Tre Clark.,32,87
10:32,-1,Marquel Perry made Jumper.,34,87
10:12,-1,Foul on Nakea Gibson.,34,87
10:12,231,Andrew Brown made Free Throw.,34,88
10:12,231,Andrew Brown missed Free Throw.,34,88
10:12,-1,Ernest Johnson Defensive Rebound.,34,88
9:59,-1,Gary Mims made Jumper.,36,88
9:44,231,Jordan Lyons made Three Point Jumper. Assisted by Jalen Williams.,36,91
9:25,-1,Gary Mims missed Three Point Jumper.,36,91
9:25,231,Jordan Lyons Defensive Rebound.,36,91
9:17,231,Jonathan Jean missed Layup.,36,91
9:17,-1,Marquel Perry Defensive Rebound.,36,91
9:08,-1,Marquel Perry missed Three Point Jumper.,36,91
9:08,231,Andrew Brown Defensive Rebound.,36,91
9:01,231,Jonathan Jean missed Layup.,36,91
9:01,231,Tre Clark Offensive Rebound.,36,91
8:58,231,Tre Clark missed Layup.,36,91
8:58,-1,Nakea Gibson Defensive Rebound.,36,91
8:54,-1,Gary Mims made Layup.,38,91
8:39,231,Jordan Lyons missed Three Point Jumper.,38,91
8:39,231,Jalen Williams Offensive Rebound.,38,91
8:34,231,Jalen Williams missed Jumper.,38,91
8:34,-1,Ernest Johnson Defensive Rebound.,38,91
8:20,-1,Marquel Perry missed Jumper.,38,91
8:20,-1,Trinity Baptist Offensive Rebound.,38,91
8:10,231,Foul on Andrew Brown.,38,91
8:07,231,Foul on Andrew Brown.,38,91
8:07,-1,Ezra Howard made Free Throw.,39,91
8:07,-1,Ezra Howard made Free Throw.,40,91
7:54,231,Jordan Lyons missed Layup.,40,91
7:54,231,Jordan Lyons Offensive Rebound.,40,91
7:51,231,Andrew Brown missed Three Point Jumper.,40,91
7:51,-1,Ernest Johnson Defensive Rebound.,40,91
7:50,231,Foul on Geoff Beans.,40,91
7:50,231,Official TV Timeout,40,91
7:50,-1,Ernest Johnson made Free Throw.,41,91
7:50,-1,Ernest Johnson made Free Throw.,42,91
7:39,231,Jonathan Jean Turnover.,42,91
7:38,-1,Brandon Tucker Steal.,42,91
7:35,-1,Nakea Gibson Turnover.,42,91
7:34,231,Jonathan Jean Steal.,42,91
7:23,231,Geoff Beans missed Three Point Jumper.,42,91
7:23,-1,Ernest Johnson Defensive Rebound.,42,91
6:56,231,Foul on Jordan Lyons.,42,91
6:56,-1,Brandon Tucker missed Free Throw.,42,91
6:56,-1,Trinity Baptist Deadball Team Rebound.,42,91
6:56,-1,Brandon Tucker made Free Throw.,43,91
6:29,231,Tre Clark missed Dunk.,43,91
6:29,231,Matt Rafferty Offensive Rebound.,43,91
6:24,231,Tre Clark made Dunk.,43,93
6:13,-1,Ernest Johnson missed Three Point Jumper.,43,93
6:13,231,Matt Rafferty Defensive Rebound.,43,93
6:02,-1,Foul on Brandon Tucker.,43,93
6:02,231,Matt Rafferty missed Free Throw.,43,93
6:02,231,Furman Deadball Team Rebound.,43,93
6:02,231,Matt Rafferty made Free Throw.,43,94
5:32,-1,Marquel Perry missed Three Point Jumper.,43,94
5:32,231,Matt Rafferty Defensive Rebound.,43,94
5:30,-1,Trinity Baptist  Turnover.,43,94
5:11,231,Jordan Lyons made Layup. Assisted by Matt Rafferty.,43,96
4:46,-1,Ernest Johnson made Layup. Assisted by Marcus Dixon.,45,96
4:35,231,Jordan Lyons made Layup. Assisted by Geoff Beans.,45,98
4:05,-1,Ezra Howard made Three Point Jumper. Assisted by Ernest Johnson.,48,98
3:51,231,Matt Rafferty made Jumper. Assisted by Geoff Beans.,48,100
3:31,-1,Marquel Perry made Jumper.,50,100
3:07,231,Matt Rafferty missed Jumper.,50,100
3:07,-1,Ernest Johnson Defensive Rebound.,50,100
2:59,-1,Marquel Perry missed Three Point Jumper.,50,100
2:59,231,Tre Clark Defensive Rebound.,50,100
2:51,231,Tre Clark made Layup. Assisted by Jonathan Jean.,50,102
2:48,231,Furman  Timeout,50,102
2:28,-1,Nakea Gibson missed Three Point Jumper.,50,102
2:28,231,Andrew Brown Defensive Rebound.,50,102
2:00,231,Official TV Timeout,50,102
1:59,231,Brady Schuck missed Three Point Jumper.,50,102
1:59,-1,Trinity Baptist Defensive Rebound.,50,102
1:45,231,Foul on Andrew Brown.,50,102
1:45,-1,Gary Mims missed Free Throw.,50,102
1:45,-1,Trinity Baptist Deadball Team Rebound.,50,102
1:45,-1,Gary Mims missed Free Throw.,50,102
1:45,231,Matt Rafferty Defensive Rebound.,50,102
1:23,231,Jonathan Jean missed Layup.,50,102
1:23,-1,Gary Mims Block.,50,102
1:21,-1,Gary Mims Defensive Rebound.,50,102
1:16,-1,Gary Mims Turnover.,50,102
1:16,231,Andrew Brown Steal.,50,102
1:16,-1,Foul on Gary Mims.,50,102
1:16,231,T.K. Hayes missed Free Throw.,50,102
1:16,231,Furman Deadball Team Rebound.,50,102
1:16,231,T.K. Hayes missed Free Throw.,50,102
1:16,-1,Zack Norris Defensive Rebound.,50,102
1:05,-1,Nakea Gibson made Dunk.,52,102
1:05,231,Foul on Matt Rafferty.,52,102
1:05,-1,Nakea Gibson made Free Throw.,53,102
0:44,231,Tre Clark missed Three Point Jumper.,53,102
0:44,231,T.K. Hayes Offensive Rebound.,53,102
0:38,231,Brady Schuck missed Layup.,53,102
0:38,-1,Gary Mims Block.,53,102
0:36,-1,Marquis Duncanson Defensive Rebound.,53,102
0:32,-1,Marquis Duncanson missed Layup.,53,102
0:32,231,Furman Defensive Rebound.,53,102
0:02,231,Furman  Turnover.,53,102
0:01,-1,Ezra Howard missed Three Point Jumper.,53,102
0:01,231,T.K. Hayes Defensive Rebound.,53,102
0:00,231,End of Game,53,102
