Montana,265,Washington State,149
2:48,149,Jared Samuelson Defensive Rebound.,17,35
2:23,149,Ahmaad Rorie missed Jumper.,17,35
2:23,265,Charles Callison Block.,17,35
2:21,265,Josh Hawkinson Defensive Rebound.,17,35
2:05,149,Foul on Fabijan Krslovic.,17,35
2:05,265,Josh Hawkinson made Free Throw.,17,36
2:05,265,Josh Hawkinson made Free Throw.,17,37
1:53,149,Mario Dunn made Layup.,19,37
1:29,265,Josh Hawkinson made Jumper.,19,39
1:11,265,Foul on Conor Clifford.,19,39
1:11,149,Ahmaad Rorie missed Free Throw.,19,39
1:11,149,Montana Deadball Team Rebound.,19,39
1:11,149,Ahmaad Rorie made Free Throw.,20,39
0:44,265,KJ Langston missed Jumper.,20,39
0:44,149,Jared Samuelson Defensive Rebound.,20,39
0:37,149,Ahmaad Rorie missed Three Point Jumper.,20,39
0:37,265,Josh Hawkinson Defensive Rebound.,20,39
0:28,265,Washington St  Timeout,20,39
0:07,265,Charles Callison made Jumper.,20,41
0:02,265,Foul on Charles Callison.,20,41
0:02,149,Mario Dunn missed Free Throw.,20,41
0:02,149,Montana Offensive Rebound.,20,41
0:01,149,Montana  Timeout,20,41
0:01,149,Mario Dunn missed Three Point Jumper.,20,41
0:00,149,Montana Deadball Team Rebound.,20,41
0:00,265,End of 1st half,20,41
19:59,149,Jared Samuelson made Layup. Assisted by Fabijan Krslovic.,22,41
19:31,265,Malachi Flynn Turnover.,22,41
19:15,149,Jared Samuelson made Layup.,24,41
19:02,149,Foul on Jared Samuelson.,24,41
18:56,265,Conor Clifford Turnover.,24,41
18:39,149,Fabijan Krslovic made Layup. Assisted by Jared Samuelson.,26,41
18:29,265,Washington St  Timeout,26,41
18:09,265,Conor Clifford made Layup.,26,43
17:51,149,Jared Samuelson missed Layup.,26,43
17:51,265,Josh Hawkinson Defensive Rebound.,26,43
17:33,149,Foul on Fabijan Krslovic.,26,43
17:33,265,Conor Clifford made Free Throw.,26,44
17:33,265,Conor Clifford made Free Throw.,26,45
17:13,149,Fabijan Krslovic missed Layup.,26,45
17:13,265,Washington St Defensive Rebound.,26,45
17:08,149,Foul on Walter Wright.,26,45
16:52,265,Conor Clifford missed Layup.,26,45
16:52,149,Fabijan Krslovic Defensive Rebound.,26,45
16:46,149,Ahmaad Rorie missed Jumper.,26,45
16:46,265,Conor Clifford Block.,26,45
16:44,265,Conor Clifford Defensive Rebound.,26,45
16:32,265,Josh Hawkinson made Jumper.,26,47
16:14,265,Foul on Conor Clifford.,26,47
16:14,149,Mario Dunn made Free Throw.,27,47
16:14,149,Mario Dunn made Free Throw.,28,47
15:51,149,Foul on Mario Dunn.,28,47
15:51,265,Official TV Timeout,28,47
15:50,149,Foul on Walter Wright.,28,47
15:50,265,Derrien King made Free Throw.,28,48
15:50,265,Derrien King made Free Throw.,28,49
15:34,149,Walter Wright missed Three Point Jumper.,28,49
15:34,149,Jared Samuelson Offensive Rebound.,28,49
15:24,265,Foul on Derrien King.,28,49
15:24,149,Bobby Moorehead missed Free Throw.,28,49
15:24,149,Montana Deadball Team Rebound.,28,49
15:24,149,Bobby Moorehead missed Free Throw.,28,49
15:24,265,Josh Hawkinson Defensive Rebound.,28,49
14:55,265,Conor Clifford made Jumper. Assisted by Ike Iroegbu.,28,51
14:40,149,Mario Dunn missed Jumper.,28,51
14:40,265,Conor Clifford Defensive Rebound.,28,51
14:33,265,Josh Hawkinson made Layup. Assisted by Malachi Flynn.,28,53
14:23,149,Jared Samuelson made Layup. Assisted by Walter Wright.,30,53
14:06,265,Malachi Flynn missed Layup.,30,53
14:06,149,Jared Samuelson Defensive Rebound.,30,53
13:50,149,Jared Samuelson made Jumper.,32,53
13:32,265,Derrien King missed Three Point Jumper.,32,53
13:32,149,Bobby Moorehead Defensive Rebound.,32,53
13:27,149,Ahmaad Rorie missed Three Point Jumper.,32,53
13:27,265,Malachi Flynn Defensive Rebound.,32,53
13:15,149,Foul on Ahmaad Rorie.,32,53
12:56,265,Charles Callison made Layup. Assisted by Conor Clifford.,32,55
12:48,149,Walter Wright missed Jumper.,32,55
12:48,265,Derrien King Defensive Rebound.,32,55
12:40,265,Conor Clifford Turnover.,32,55
12:32,149,Ahmaad Rorie missed Layup.,32,55
12:32,265,Conor Clifford Block.,32,55
12:30,149,Ahmaad Rorie Offensive Rebound.,32,55
12:24,149,Brandon Gfeller missed Three Point Jumper.,32,55
12:24,265,Charles Callison Defensive Rebound.,32,55
12:06,265,Josh Hawkinson made Layup. Assisted by Conor Clifford.,32,57
12:06,149,Foul on Brandon Gfeller.,32,57
12:06,265,Josh Hawkinson made Free Throw.,32,58
11:53,149,Jared Samuelson made Layup. Assisted by Brandon Gfeller.,34,58
11:40,265,Conor Clifford Turnover.,34,58
11:40,149,Brandon Gfeller Steal.,34,58
11:26,265,Official TV Timeout,34,58
11:14,149,Mario Dunn made Layup.,36,58
11:11,149,Foul on Brandon Gfeller.,36,58
11:11,265,Charles Callison made Free Throw.,36,59
11:11,265,Charles Callison made Free Throw.,36,60
11:04,265,Foul on Viont'e Daniels.,36,60
10:48,265,Foul on Josh Hawkinson.,36,60
10:45,149,Sayeed Pridgett made Jumper. Assisted by Mario Dunn.,38,60
10:17,265,Robert Franks Turnover.,38,60
10:14,265,Foul on Viont'e Daniels.,38,60
10:00,265,Foul on Derrien King.,38,60
9:52,149,Mario Dunn Turnover.,38,60
9:52,265,Charles Callison Steal.,38,60
9:52,149,Foul on Sayeed Pridgett.,38,60
9:52,265,Charles Callison made Free Throw.,38,61
9:52,265,Charles Callison made Free Throw.,38,62
9:39,149,Walter Wright Turnover.,38,62
9:19,265,Josh Hawkinson made Three Point Jumper. Assisted by Conor Clifford.,38,65
9:10,149,Trevor Spoja missed Three Point Jumper.,38,65
9:10,149,Gavin DeJong Offensive Rebound.,38,65
9:08,265,Foul on Ike Iroegbu.,38,65
9:08,149,Gavin DeJong made Free Throw.,39,65
9:08,149,Gavin DeJong made Free Throw.,40,65
8:49,265,Josh Hawkinson missed Three Point Jumper.,40,65
8:49,149,Fabijan Krslovic Defensive Rebound.,40,65
8:32,149,Bobby Moorehead made Three Point Jumper. Assisted by Ahmaad Rorie.,43,65
8:12,265,Foul on Conor Clifford.,43,65
8:12,265,Conor Clifford Turnover.,43,65
7:52,265,Official TV Timeout,43,65
7:48,149,Bobby Moorehead made Three Point Jumper. Assisted by Ahmaad Rorie.,46,65
7:24,265,Malachi Flynn missed Three Point Jumper.,46,65
7:24,149,Fabijan Krslovic Defensive Rebound.,46,65
7:05,149,Bobby Moorehead missed Three Point Jumper.,46,65
7:05,149,Fabijan Krslovic Offensive Rebound.,46,65
6:54,149,Ahmaad Rorie made Layup.,48,65
6:36,265,Robert Franks made Three Point Jumper. Assisted by Ike Iroegbu.,48,68
6:00,149,Fabijan Krslovic missed Jumper.,48,68
6:00,265,Josh Hawkinson Defensive Rebound.,48,68
5:53,265,Malachi Flynn missed Three Point Jumper.,48,68
5:53,149,Gavin DeJong Defensive Rebound.,48,68
5:47,149,Ahmaad Rorie missed Layup.,48,68
5:47,265,Robert Franks Block.,48,68
5:45,265,KJ Langston Defensive Rebound.,48,68
5:32,149,Foul on Fabijan Krslovic.,48,68
5:32,265,Josh Hawkinson made Free Throw.,48,69
5:32,265,Josh Hawkinson made Free Throw.,48,70
5:20,149,Gavin DeJong missed Jumper.,48,70
5:20,265,Robert Franks Defensive Rebound.,48,70
5:02,265,Malachi Flynn made Three Point Jumper. Assisted by Ike Iroegbu.,48,73
4:46,149,Mario Dunn made Three Point Jumper. Assisted by Bobby Moorehead.,51,73
4:33,265,Robert Franks missed Three Point Jumper.,51,73
4:33,149,Mario Dunn Defensive Rebound.,51,73
4:23,149,Brandon Gfeller missed Jumper.,51,73
4:23,265,Josh Hawkinson Defensive Rebound.,51,73
4:14,149,Foul on Mario Dunn.,51,73
4:14,265,Robert Franks missed Free Throw.,51,73
4:14,265,Washington St Deadball Team Rebound.,51,73
4:14,265,Robert Franks made Free Throw.,51,74
4:04,149,Brandon Gfeller made Layup. Assisted by Mario Dunn.,53,74
3:53,265,Official TV Timeout,53,74
3:51,265,Foul on Robert Franks.,53,74
3:51,265,Robert Franks Turnover.,53,74
3:35,149,Bobby Moorehead Turnover.,53,74
3:27,265,Jeff Pollard made Dunk. Assisted by Robert Franks.,53,76
3:10,149,Bobby Moorehead missed Three Point Jumper.,53,76
3:10,265,Malachi Flynn Defensive Rebound.,53,76
2:57,265,Robert Franks made Three Point Jumper. Assisted by Malachi Flynn.,53,79
2:43,149,Bobby Moorehead made Three Point Jumper. Assisted by Mario Dunn.,56,79
2:34,149,Foul on Mario Dunn.,56,79
2:34,265,Malachi Flynn made Free Throw.,56,80
2:34,265,Malachi Flynn made Free Throw.,56,81
2:23,149,Brandon Gfeller made Three Point Jumper. Assisted by Bobby Moorehead.,59,81
1:57,265,Viont'e Daniels made Three Point Jumper. Assisted by Robert Franks.,59,84
1:48,149,Bobby Moorehead missed Three Point Jumper.,59,84
1:48,265,Malachi Flynn Defensive Rebound.,59,84
1:36,265,Viont'e Daniels made Three Point Jumper. Assisted by Malachi Flynn.,59,87
1:10,265,Foul on Jeff Pollard.,59,87
1:10,149,Sayeed Pridgett made Free Throw.,60,87
1:10,149,Sayeed Pridgett missed Free Throw.,60,87
1:10,265,Jeff Pollard Defensive Rebound.,60,87
1:00,265,Malachi Flynn Turnover.,60,87
0:42,149,Brandon Gfeller made Three Point Jumper. Assisted by Trevor Spoja.,63,87
0:10,265,KJ Langston missed Three Point Jumper.,63,87
0:10,149,Aaron Misipeka-Ward Defensive Rebound.,63,87
0:00,265,End of Game,63,87
