South Carolina Upstate,2127,Charleston Southern,2908
12:18,2127,Raemond Robinson missed Three Point Jumper.,11,11
12:18,2908,Malik Moore Defensive Rebound.,11,11
11:51,2127,Official TV Timeout,11,11
11:44,2908,Thomas Booker missed Jumper.,11,11
11:44,2908,Jure Span Offensive Rebound.,11,11
11:36,2908,Malik Moore missed Three Point Jumper.,11,11
11:36,2127,Christian Keeling Defensive Rebound.,11,11
11:25,2127,Patrick Wallace missed Jumper.,11,11
11:25,2908,Malik Moore Defensive Rebound.,11,11
11:14,2908,Philip Whittington missed Three Point Jumper.,11,11
11:14,2908,South Carolina Upstate Offensive Rebound.,11,11
11:12,2127,Foul on Ugo Mmonu.,11,11
11:12,2908,Malik Moore missed Free Throw.,11,11
11:12,2908,Philip Whittington Offensive Rebound.,11,11
11:10,2908,Philip Whittington Turnover.,11,11
11:06,2127,Jamar Martin Steal.,11,11
10:53,2127,Javis Howard made Dunk. Assisted by Jamar Martin.,11,13
10:30,2908,Josh Cuthbertson missed Three Point Jumper.,11,13
10:30,2127,Christian Keeling Defensive Rebound.,11,13
10:20,2908,Foul on Jure Span.,11,13
10:20,2127,Christian Keeling missed Free Throw.,11,13
10:20,2127,Charleston Southern Deadball Team Rebound.,11,13
10:20,2127,Christian Keeling made Free Throw.,11,14
9:52,2908,Josh Cuthbertson missed Layup.,11,14
9:52,2127,Javis Howard Block.,11,14
9:51,2127,Christian Keeling Defensive Rebound.,11,14
9:44,2127,Jamar Martin missed Three Point Jumper.,11,14
9:44,2127,Christian Keeling Offensive Rebound.,11,14
9:39,2127,Christian Keeling made Layup.,11,16
9:38,2908,Foul on Jure Span.,11,16
9:38,2127,Christian Keeling missed Free Throw.,11,16
9:38,2908,Ramel Thompkins Defensive Rebound.,11,16
9:20,2908,Deion Holmes made Layup.,13,16
9:10,2127,Patrick Wallace made Three Point Jumper.,13,19
8:46,2908,Mike Cunningham made Three Point Jumper.,16,19
8:12,2127,Armel Potter missed Three Point Jumper.,16,19
8:12,2908,Ramel Thompkins Defensive Rebound.,16,19
8:04,2908,Ramel Thompkins made Three Point Jumper. Assisted by Deion Holmes.,19,19
7:49,2127,Antwan Maxwell missed Jumper.,19,19
7:49,2908,Michael Buchanan Defensive Rebound.,19,19
7:42,2908,Deion Holmes made Layup.,21,19
7:22,2908,Foul on Michael Buchanan.,21,19
7:22,2127,Official TV Timeout,21,19
7:09,2127,Javis Howard missed Jumper.,21,19
7:09,2908,Ramel Thompkins Defensive Rebound.,21,19
7:01,2127,Foul on Javis Howard.,21,19
7:01,2908,Michael Buchanan missed Free Throw.,21,19
7:01,2127,Jamar Martin Defensive Rebound.,21,19
6:48,2127,Javis Howard made Jumper. Assisted by Raemond Robinson.,21,21
6:37,2908,Deion Holmes missed Three Point Jumper.,21,21
6:37,2127,Javis Howard Defensive Rebound.,21,21
6:25,2127,Christian Keeling missed Jumper.,21,21
6:25,2908,Michael Buchanan Defensive Rebound.,21,21
6:17,2908,Mike Cunningham missed Jumper.,21,21
6:17,2127,Charleston Southern Defensive Rebound.,21,21
6:15,2908,Foul on Michael Buchanan.,21,21
6:15,2127,Jamar Martin made Free Throw.,21,22
6:15,2127,Jamar Martin made Free Throw.,21,23
5:53,2908,Josh Cuthbertson missed Layup.,21,23
5:53,2908,Philip Whittington Offensive Rebound.,21,23
5:49,2908,Philip Whittington missed Layup.,21,23
5:49,2127,Charleston Southern Defensive Rebound.,21,23
5:33,2127,Raemond Robinson made Three Point Jumper. Assisted by Cortez Mitchell.,21,26
5:15,2908,Mike Cunningham made Three Point Jumper. Assisted by Josh Cuthbertson.,24,26
5:02,2127,Raemond Robinson missed Three Point Jumper.,24,26
5:02,2127,Jamar Martin Offensive Rebound.,24,26
4:58,2127,Jamar Martin made Two Point Tip Shot.,24,28
4:58,2908,Foul on Philip Whittington.,24,28
4:58,2127,Jamar Martin made Free Throw.,24,29
4:35,2908,Mike Cunningham missed Jumper.,24,29
4:35,2127,Raemond Robinson Defensive Rebound.,24,29
4:27,2127,Cortez Mitchell missed Three Point Jumper.,24,29
4:27,2908,Philip Whittington Defensive Rebound.,24,29
4:13,2908,Josh Cuthbertson made Jumper.,26,29
3:55,2127,Jordan Jones made Layup. Assisted by Cortez Mitchell.,26,31
3:35,2908,Ramel Thompkins made Three Point Jumper. Assisted by Mike Cunningham.,29,31
3:20,2908,Foul on Ramel Thompkins.,29,31
3:20,2127,Official TV Timeout,29,31
3:20,2127,Christian Keeling missed Free Throw.,29,31
3:20,2127,Charleston Southern Deadball Team Rebound.,29,31
3:20,2127,Christian Keeling made Free Throw.,29,32
3:01,2908,Ramel Thompkins made Three Point Jumper. Assisted by Mike Cunningham.,32,32
2:28,2127,Jamal Thomas missed Layup.,32,32
2:28,2908,Carson Smith Defensive Rebound.,32,32
2:20,2908,Ramel Thompkins made Three Point Jumper. Assisted by Mike Cunningham.,35,32
2:17,2127,Charleston Southern  Timeout,35,32
2:03,2127,Christian Keeling missed Three Point Jumper.,35,32
2:03,2908,Mike Cunningham Defensive Rebound.,35,32
1:36,2908,Ramel Thompkins missed Three Point Jumper.,35,32
1:36,2127,Christian Keeling Defensive Rebound.,35,32
1:30,2127,Christian Keeling Turnover.,35,32
1:29,2908,Ramel Thompkins Steal.,35,32
1:17,2127,Foul on Raemond Robinson.,35,32
1:17,2908,Mike Cunningham made Free Throw.,36,32
1:17,2908,Mike Cunningham made Free Throw.,37,32
0:56,2127,Cortez Mitchell made Three Point Jumper. Assisted by Christian Keeling.,37,35
0:43,2908,Mike Cunningham made Three Point Jumper. Assisted by Carson Smith.,40,35
0:23,2127,Cortez Mitchell missed Layup.,40,35
0:23,2908,Carson Smith Block.,40,35
0:21,2127,Javis Howard Offensive Rebound.,40,35
0:18,2127,Cortez Mitchell made Layup. Assisted by Christian Keeling.,40,37
0:09,2908,Carson Smith made Layup. Assisted by Mike Cunningham.,42,37
0:06,2127,Charleston Southern  Timeout,42,37
0:01,2127,Jamar Martin missed Three Point Jumper.,42,37
0:01,2908,Mike Cunningham Defensive Rebound.,42,37
0:00,2127,End of 1st half,42,37
19:45,2127,Cortez Mitchell missed Jumper.,42,37
19:45,2908,Josh Cuthbertson Defensive Rebound.,42,37
19:38,2908,Josh Cuthbertson Turnover.,42,37
19:38,2127,Cortez Mitchell Steal.,42,37
19:35,2127,Cortez Mitchell made Layup.,42,39
19:35,2908,Foul on Josh Cuthbertson.,42,39
19:35,2127,Cortez Mitchell made Free Throw.,42,40
19:14,2908,Michael Buchanan Turnover.,42,40
18:58,2127,Cortez Mitchell missed Jumper.,42,40
18:58,2908,Michael Buchanan Defensive Rebound.,42,40
18:33,2908,Jure Span missed Three Point Jumper.,42,40
18:33,2127,Ugo Mmonu Defensive Rebound.,42,40
18:25,2908,Foul on Jure Span.,42,40
18:25,2127,Ugo Mmonu missed Free Throw.,42,40
18:25,2127,Charleston Southern Deadball Team Rebound.,42,40
18:25,2127,Ugo Mmonu made Free Throw.,42,41
18:11,2908,Deion Holmes made Three Point Jumper. Assisted by Ramel Thompkins.,45,41
17:55,2908,Foul on Michael Buchanan.,45,41
17:55,2127,Ugo Mmonu made Free Throw.,45,42
17:55,2127,Ugo Mmonu made Free Throw.,45,43
17:53,2127,Foul on Cortez Mitchell.,45,43
17:34,2908,Deion Holmes made Layup.,47,43
17:20,2127,Armel Potter made Three Point Jumper. Assisted by Cortez Mitchell.,47,46
17:10,2908,Josh Cuthbertson missed Three Point Jumper.,47,46
17:10,2127,Christian Keeling Defensive Rebound.,47,46
17:01,2127,Armel Potter made Layup. Assisted by Christian Keeling.,47,48
16:48,2908,Michael Buchanan Turnover.,47,48
16:47,2127,Cortez Mitchell Steal.,47,48
16:40,2127,Ugo Mmonu made Layup. Assisted by Christian Keeling.,47,50
16:17,2127,Foul on Cortez Mitchell.,47,50
16:17,2908,Mike Cunningham made Free Throw.,48,50
16:17,2908,Mike Cunningham made Free Throw.,49,50
16:00,2127,Jordan Jones Turnover.,49,50
16:00,2908,Ramel Thompkins Steal.,49,50
16:00,2127,Foul on Jordan Jones.,49,50
15:48,2908,Mike Cunningham missed Jumper.,49,50
15:48,2127,Raemond Robinson Defensive Rebound.,49,50
15:41,2127,Jamal Thomas made Three Point Jumper. Assisted by Raemond Robinson.,49,53
15:08,2908,Ramel Thompkins missed Three Point Jumper.,49,53
15:08,2127,Ugo Mmonu Defensive Rebound.,49,53
14:53,2127,Raemond Robinson missed Jumper.,49,53
14:53,2908,Mike Cunningham Defensive Rebound.,49,53
14:44,2908,Ramel Thompkins missed Three Point Jumper.,49,53
14:44,2908,South Carolina Upstate Offensive Rebound.,49,53
14:41,2127,Foul on Jordan Jones.,49,53
14:41,2127,Official TV Timeout,49,53
14:31,2908,Philip Whittington missed Three Point Jumper.,49,53
14:31,2127,Christian Keeling Defensive Rebound.,49,53
14:10,2127,Javis Howard Turnover.,49,53
14:10,2908,Josh Cuthbertson Steal.,49,53
14:04,2127,Foul on Jamar Martin.,49,53
14:04,2908,Josh Cuthbertson made Free Throw.,50,53
14:04,2908,Josh Cuthbertson made Free Throw.,51,53
13:54,2127,Javis Howard missed Layup.,51,53
13:54,2908,Philip Whittington Block.,51,53
13:53,2127,Javis Howard Offensive Rebound.,51,53
13:50,2127,Javis Howard missed Layup.,51,53
13:50,2908,Philip Whittington Block.,51,53
13:48,2908,Philip Whittington Defensive Rebound.,51,53
13:40,2908,Ramel Thompkins missed Layup.,51,53
13:40,2127,Jamar Martin Defensive Rebound.,51,53
13:36,2127,Patrick Wallace made Three Point Jumper. Assisted by Jamar Martin.,51,56
13:09,2908,Philip Whittington Turnover.,51,56
12:56,2127,Christian Keeling missed Jumper.,51,56
12:56,2127,Javis Howard Offensive Rebound.,51,56
12:52,2908,Foul on Philip Whittington.,51,56
12:52,2127,Javis Howard missed Free Throw.,51,56
12:52,2127,Charleston Southern Deadball Team Rebound.,51,56
12:52,2127,Javis Howard made Free Throw.,51,57
12:33,2908,Deion Holmes made Jumper.,53,57
12:25,2127,Jamar Martin missed Three Point Jumper.,53,57
12:25,2908,Malik Moore Defensive Rebound.,53,57
12:09,2908,Malik Moore missed Three Point Jumper.,53,57
12:09,2127,Javis Howard Defensive Rebound.,53,57
12:02,2127,Christian Keeling made Layup.,53,59
11:56,2908,South Carolina Upstate  Timeout,53,59
11:41,2908,Michael Buchanan missed Jumper.,53,59
11:41,2127,Javis Howard Defensive Rebound.,53,59
11:33,2127,Armel Potter missed Three Point Jumper.,53,59
11:33,2908,Malik Moore Defensive Rebound.,53,59
11:15,2908,Deion Holmes missed Jumper.,53,59
11:15,2127,Jamar Martin Defensive Rebound.,53,59
10:59,2127,Christian Keeling missed Jumper.,53,59
10:59,2908,Michael Buchanan Defensive Rebound.,53,59
10:49,2908,Mike Cunningham missed Layup.,53,59
10:49,2127,Christian Keeling Defensive Rebound.,53,59
10:45,2908,Foul on Mike Cunningham.,53,59
10:45,2127,Official TV Timeout,53,59
10:31,2908,Foul on Michael Buchanan.,53,59
10:31,2127,Armel Potter made Free Throw.,53,60
10:31,2127,Armel Potter missed Free Throw.,53,60
10:31,2127,Javis Howard Offensive Rebound.,53,60
10:28,2127,Javis Howard missed Jumper.,53,60
10:28,2908,Deion Holmes Defensive Rebound.,53,60
10:18,2127,Foul on Cortez Mitchell.,53,60
10:09,2908,Deion Holmes made Layup.,55,60
9:48,2908,Foul on Malik Moore.,55,60
9:48,2127,Javis Howard made Free Throw.,55,61
9:48,2127,Javis Howard missed Free Throw.,55,61
9:48,2908,Josh Cuthbertson Defensive Rebound.,55,61
9:30,2127,Foul on Javis Howard.,55,61
9:30,2908,Philip Whittington made Free Throw.,56,61
9:30,2908,Philip Whittington made Free Throw.,57,61
9:05,2127,Cortez Mitchell missed Three Point Jumper.,57,61
9:05,2908,Philip Whittington Defensive Rebound.,57,61
8:57,2908,Mike Cunningham made Jumper.,59,61
8:49,2127,Javis Howard Turnover.,59,61
8:33,2908,Philip Whittington made Jumper. Assisted by Malik Moore.,61,61
8:14,2127,Armel Potter made Three Point Jumper. Assisted by Patrick Wallace.,61,64
8:01,2908,Deion Holmes Turnover.,61,64
8:00,2127,Javis Howard Steal.,61,64
7:41,2127,Christian Keeling missed Jumper.,61,64
7:41,2908,Philip Whittington Block.,61,64
7:38,2127,Javis Howard Offensive Rebound.,61,64
7:38,2127,Javis Howard made Jumper.,61,66
7:17,2908,Jure Span missed Jumper.,61,66
7:17,2127,Ugo Mmonu Block.,61,66
7:15,2908,Thomas Booker Offensive Rebound.,61,66
7:15,2127,Foul on Patrick Wallace.,61,66
7:15,2908,Thomas Booker missed Free Throw.,61,66
7:15,2908,South Carolina Upstate Deadball Team Rebound.,61,66
7:15,2908,Thomas Booker made Free Throw.,62,66
6:51,2127,Patrick Wallace missed Layup.,62,66
6:51,2908,Philip Whittington Block.,62,66
6:48,2908,Philip Whittington Defensive Rebound.,62,66
6:32,2908,Jure Span made Three Point Jumper.,65,66
6:01,2127,Ugo Mmonu missed Jumper.,65,66
6:01,2908,Ramel Thompkins Block.,65,66
6:00,2908,Ramel Thompkins Defensive Rebound.,65,66
5:42,2908,Philip Whittington made Layup. Assisted by Ramel Thompkins.,67,66
5:42,2127,Foul on Cortez Mitchell.,67,66
5:42,2908,Philip Whittington missed Free Throw.,67,66
5:42,2908,South Carolina Upstate Offensive Rebound.,67,66
5:18,2908,Josh Cuthbertson missed Three Point Jumper.,67,66
5:18,2127,Jamar Martin Defensive Rebound.,67,66
5:03,2127,Cortez Mitchell missed Jumper.,67,66
5:03,2127,Javis Howard Offensive Rebound.,67,66
5:00,2127,Javis Howard made Layup.,67,68
4:33,2908,Philip Whittington made Jumper. Assisted by Josh Cuthbertson.,69,68
4:14,2127,Armel Potter missed Jumper.,69,68
4:14,2908,Ramel Thompkins Defensive Rebound.,69,68
4:04,2908,Josh Cuthbertson missed Dunk.,69,68
4:04,2908,Josh Cuthbertson Offensive Rebound.,69,68
4:02,2908,Josh Cuthbertson made Layup.,71,68
3:44,2908,Foul on Deion Holmes.,71,68
3:44,2127,Official TV Timeout,71,68
3:44,2127,Javis Howard made Free Throw.,71,69
3:44,2127,Javis Howard made Free Throw.,71,70
3:40,2908,Philip Whittington Turnover.,71,70
3:39,2127,Christian Keeling Steal.,71,70
3:37,2127,Christian Keeling made Jumper.,71,72
3:08,2908,Mike Cunningham missed Jumper.,71,72
3:08,2908,Philip Whittington Offensive Rebound.,71,72
2:50,2127,Foul on Armel Potter.,71,72
2:50,2908,Deion Holmes made Free Throw.,72,72
2:50,2908,Deion Holmes made Free Throw.,73,72
2:30,2127,Raemond Robinson missed Three Point Jumper.,73,72
2:30,2908,Mike Cunningham Defensive Rebound.,73,72
2:11,2908,Deion Holmes made Jumper.,75,72
2:03,2127,Charleston Southern  Timeout,75,72
1:49,2127,Christian Keeling made Layup.,75,74
1:16,2908,Josh Cuthbertson missed Jumper.,75,74
1:16,2127,Jamar Martin Defensive Rebound.,75,74
0:55,2127,Jamar Martin missed Three Point Jumper.,75,74
0:55,2908,Ramel Thompkins Defensive Rebound.,75,74
0:24,2908,Mike Cunningham Turnover.,75,74
0:23,2127,Christian Keeling Steal.,75,74
0:21,2127,Patrick Wallace made Three Point Jumper. Assisted by Christian Keeling.,75,77
0:14,2908,Foul on Deion Holmes.,75,77
0:14,2908,Deion Holmes Turnover.,75,77
0:14,2908,South Carolina Upstate  Timeout,75,77
0:14,2908,South Carolina Upstate  Timeout,75,77
0:12,2127,Charleston Southern  Timeout,75,77
0:12,2127,Jamar Martin Turnover.,75,77
0:07,2908,Mike Cunningham made Three Point Jumper.,78,77
0:01,2127,Armel Potter Turnover.,78,77
0:01,2127,Foul on Christian Keeling.,78,77
0:01,2908,Mike Cunningham missed Free Throw.,78,77
0:01,2908,South Carolina Upstate Deadball Team Rebound.,78,77
0:01,2908,Mike Cunningham made Free Throw.,79,77
0:00,2127,End of Game,79,77
