Howard,2241,Gardner-Webb,47
15:47,2241,Foul on Brandon Miller.,47,51
15:47,2241,Official TV Timeout,47,51
15:47,47,James Miller made Free Throw.,48,51
15:32,47,Foul on James Miller.,48,51
15:19,2241,Tyrell Nelson made Jumper. Assisted by Laquincy Rideau.,48,53
14:50,47,Marcel Boyd Turnover.,48,53
14:48,2241,David Efianayi Steal.,48,53
14:46,2241,David Efianayi made Layup.,48,55
14:19,2241,Foul on Liam O'Reilly.,48,55
14:19,47,Charles Williams made Free Throw.,49,55
14:19,47,Charles Williams made Free Throw.,50,55
13:50,47,Foul on Marcel Boyd.,50,55
13:50,2241,David Efianayi missed Free Throw.,50,55
13:50,2241,Gardner-Webb Deadball Team Rebound.,50,55
13:50,2241,David Efianayi made Free Throw.,50,56
13:28,2241,Foul on Brandon Miller.,50,56
13:28,47,Damon Collins made Free Throw.,51,56
13:28,47,Damon Collins made Free Throw.,52,56
13:05,47,Foul on Tyler Stone.,52,56
12:52,2241,DJ Laster made Three Point Jumper. Assisted by Christian Turner.,52,59
12:26,47,Charles Williams missed Three Point Jumper.,52,59
12:24,47,Howard Offensive Rebound.,52,59
12:24,2241,Foul on DJ Laster.,52,59
12:24,47,Tyler Stone made Free Throw.,53,59
12:24,47,Tyler Stone made Free Throw.,54,59
12:07,2241,Liam O'Reilly made Three Point Jumper. Assisted by Christian Turner.,54,62
11:51,47,Solomon Mangham missed Three Point Jumper.,54,62
11:51,47,Charles Williams Offensive Rebound.,54,62
11:47,47,Charles Williams missed Jumper.,54,62
11:47,47,Damon Collins Offensive Rebound.,54,62
11:37,47,Damon Collins Turnover.,54,62
11:36,2241,Brandon Miller Steal.,54,62
11:34,2241,Christian Turner missed Layup.,54,62
11:33,47,Tyler Stone Block.,54,62
11:33,2241,Gardner-Webb Offensive Rebound.,54,62
11:33,2241,Official TV Timeout,54,62
11:29,2241,Liam O'Reilly missed Three Point Jumper.,54,62
11:29,47,James Miller Defensive Rebound.,54,62
11:15,47,James Miller missed Jumper.,54,62
11:14,2241,Brandon Miller Defensive Rebound.,54,62
11:09,2241,David Efianayi made Layup.,54,64
10:43,47,Tyler Stone made Layup.,56,64
10:18,2241,David Efianayi made Three Point Jumper. Assisted by Christian Turner.,56,67
9:56,47,Solomon Mangham made Jumper. Assisted by James Miller.,58,67
9:40,47,Foul on Tyler Stone.,58,67
9:27,2241,David Efianayi made Layup.,58,69
9:02,47,Charles Williams missed Jumper.,58,69
9:01,2241,Brandon Miller Defensive Rebound.,58,69
8:52,2241,DJ Laster made Layup. Assisted by Christian Turner.,58,71
8:50,47,Howard  Timeout,58,71
8:24,47,Marcel Boyd missed Jumper.,58,71
8:23,2241,Liam O'Reilly Defensive Rebound.,58,71
8:22,47,Foul on Charles Williams.,58,71
8:12,2241,David Efianayi missed Jumper.,58,71
8:11,2241,Brandon Miller Offensive Rebound.,58,71
8:10,2241,Brandon Miller made Layup.,58,73
7:52,47,Damon Collins made Three Point Jumper.,61,73
7:34,2241,David Efianayi missed Three Point Jumper.,61,73
7:33,2241,Gardner-Webb Offensive Rebound.,61,73
7:30,2241,Official TV Timeout,61,73
7:06,47,Foul on Solomon Mangham.,61,73
6:50,47,Foul on Damon Collins.,61,73
6:50,2241,Christian Turner missed Free Throw.,61,73
6:50,47,Damon Collins Defensive Rebound.,61,73
6:41,47,Solomon Mangham missed Jumper.,61,73
6:41,2241,Brandon Miller Defensive Rebound.,61,73
6:25,2241,Brandon Miller missed Layup.,61,73
6:25,47,Solomon Mangham Defensive Rebound.,61,73
6:15,2241,Foul on Christian Turner.,61,73
6:15,47,Damon Collins missed Free Throw.,61,73
6:15,47,Howard Deadball Team Rebound.,61,73
6:15,47,Damon Collins made Free Throw.,62,73
6:00,47,Foul on Kofi Andoh.,62,73
6:00,2241,L'Hassane Niangane missed Free Throw.,62,73
6:00,2241,Gardner-Webb Deadball Team Rebound.,62,73
6:00,2241,L'Hassane Niangane made Free Throw.,62,74
5:47,2241,Foul on L'Hassane Niangane.,62,74
5:47,47,Marcel Boyd missed Free Throw.,62,74
5:47,47,Howard Deadball Team Rebound.,62,74
5:47,47,Marcel Boyd made Free Throw.,63,74
5:35,2241,Brandon Miller made Layup. Assisted by Jamaal Robateau.,63,76
5:12,47,James Miller missed Layup.,63,76
5:11,2241,Brandon Miller Defensive Rebound.,63,76
5:05,2241,David Efianayi made Layup. Assisted by Laquincy Rideau.,63,78
4:42,47,Solomon Mangham made Jumper. Assisted by James Miller.,65,78
4:26,2241,Tyrell Nelson Turnover.,65,78
4:25,47,James Miller Steal.,65,78
4:23,47,Dalique Mingo Turnover.,65,78
4:18,47,Foul on Marcel Boyd.,65,78
4:18,2241,David Efianayi made Free Throw.,65,79
4:18,2241,David Efianayi made Free Throw.,65,80
4:02,47,Damon Collins missed Three Point Jumper.,65,80
4:01,47,Howard Offensive Rebound.,65,80
4:00,2241,Foul on Jamaal Robateau.,65,80
4:00,47,Michael Obindu made Free Throw.,66,80
4:00,47,Michael Obindu missed Free Throw.,66,80
3:59,2241,Tyrell Nelson Defensive Rebound.,66,80
3:45,2241,Tyrell Nelson made Jumper. Assisted by David Efianayi.,66,82
3:19,47,Charles Williams made Layup. Assisted by James Miller.,68,82
3:04,2241,Jamaal Robateau missed Three Point Jumper.,68,82
3:03,47,Solomon Mangham Defensive Rebound.,68,82
2:53,47,Damon Collins Turnover.,68,82
2:52,2241,Tyrell Nelson Steal.,68,82
2:49,2241,Jamaal Robateau made Layup. Assisted by Tyrell Nelson.,68,84
2:34,2241,Foul on Brandon Miller.,68,84
2:34,2241,Official TV Timeout,68,84
2:34,47,Damon Collins made Free Throw.,69,84
2:34,47,Damon Collins missed Free Throw.,69,84
2:34,2241,Tyrell Nelson Defensive Rebound.,69,84
2:26,47,Foul on Solomon Mangham.,69,84
2:26,2241,David Efianayi made Free Throw.,69,85
2:26,2241,David Efianayi made Free Throw.,69,86
2:13,47,Solomon Mangham Turnover.,69,86
2:13,2241,Laquincy Rideau Steal.,69,86
2:09,2241,Laquincy Rideau made Dunk.,69,88
1:56,47,James Miller made Three Point Jumper. Assisted by Charles Williams.,72,88
1:55,47,Howard  Timeout,72,88
1:33,47,Foul on Charles Williams.,72,88
1:33,2241,Brandon Miller missed Free Throw.,72,88
1:33,2241,Gardner-Webb Deadball Team Rebound.,72,88
1:33,2241,Brandon Miller Turnover.,72,88
1:25,47,James Miller made Three Point Jumper. Assisted by Damon Collins.,75,88
1:03,2241,David Efianayi made Three Point Jumper. Assisted by Tyrell Nelson.,75,91
0:50,47,Damon Collins missed Layup.,75,91
0:50,2241,Brandon Miller Defensive Rebound.,75,91
0:19,2241,Laquincy Rideau made Three Point Jumper. Assisted by Tyrell Nelson.,75,94
0:07,47,Solomon Mangham made Three Point Jumper. Assisted by Damon Collins.,78,94
0:00,2241,End of Game,78,94
