Louisiana Tech,158,Nebraska,2348
14:31,158,Jack McVeigh missed Jumper.,8,9
14:31,2348,Jalen Harris Defensive Rebound.,8,9
14:13,2348,Erik McCree missed Three Point Jumper.,8,9
14:13,158,Jack McVeigh Defensive Rebound.,8,9
14:03,158,Glynn Watson Jr. missed Jumper.,8,9
14:03,158,Glynn Watson Jr. Offensive Rebound.,8,9
14:00,158,Glynn Watson Jr. missed Jumper.,8,9
14:00,2348,Jacobi Boykins Defensive Rebound.,8,9
13:52,2348,Jalen Harris Turnover.,8,9
13:51,158,Jack McVeigh Steal.,8,9
13:49,158,Tai Webster Turnover.,8,9
13:40,2348,Qiydar Davis missed Three Point Jumper.,8,9
13:40,2348,Oliver Powell Offensive Rebound.,8,9
13:36,2348,Oliver Powell missed Jumper.,8,9
13:36,158,Isaiah Roby Defensive Rebound.,8,9
13:24,2348,Foul on Joniah White.,8,9
13:07,158,Tai Webster made Layup.,8,11
12:53,2348,Oliver Powell Turnover.,8,11
12:40,158,Isaiah Roby missed Three Point Jumper.,8,11
12:40,2348,Qiydar Davis Defensive Rebound.,8,11
12:23,2348,DaQuan Bracey missed Layup.,8,11
12:23,158,Michael Jacobson Defensive Rebound.,8,11
12:17,158,Tai Webster Turnover.,8,11
11:55,2348,Omar Sherman missed Three Point Jumper.,8,11
11:55,2348,Qiydar Davis Offensive Rebound.,8,11
11:50,158,Official TV Timeout,8,11
11:48,2348,Erik McCree made Jumper. Assisted by DaQuan Bracey.,10,11
11:23,158,Isaiah Roby missed Jumper.,10,11
11:23,158,Isaiah Roby Offensive Rebound.,10,11
11:12,158,Michael Jacobson missed Jumper.,10,11
11:12,2348,Omar Sherman Defensive Rebound.,10,11
11:00,158,Foul on Isaiah Roby.,10,11
10:49,2348,DaQuan Bracey missed Jumper.,10,11
10:49,158,Tai Webster Block.,10,11
10:47,158,Tai Webster Defensive Rebound.,10,11
10:37,158,Anton Gill missed Jumper.,10,11
10:37,2348,Qiydar Davis Defensive Rebound.,10,11
10:29,2348,Erik McCree made Layup. Assisted by Qiydar Davis.,12,11
10:12,158,Anton Gill missed Three Point Jumper.,12,11
10:12,2348,Qiydar Davis Defensive Rebound.,12,11
10:00,2348,Qiydar Davis made Three Point Jumper. Assisted by DaQuan Bracey.,15,11
9:44,158,Tai Webster made Three Point Jumper.,15,14
9:17,2348,Foul on Qiydar Davis.,15,14
9:17,2348,Qiydar Davis Turnover.,15,14
9:04,158,Tai Webster Turnover.,15,14
8:55,2348,Foul on Omar Sherman.,15,14
8:55,2348,Omar Sherman Turnover.,15,14
8:31,158,Jack McVeigh missed Three Point Jumper.,15,14
8:31,2348,Jacobi Boykins Defensive Rebound.,15,14
8:12,2348,Jalen Harris missed Three Point Jumper.,15,14
8:12,158,Evan Taylor Defensive Rebound.,15,14
7:58,158,Tai Webster missed Layup.,15,14
7:58,2348,Joniah White Block.,15,14
7:57,2348,Derric Jean Defensive Rebound.,15,14
7:53,2348,Jacobi Boykins missed Three Point Jumper.,15,14
7:53,2348,Derric Jean Offensive Rebound.,15,14
7:48,2348,Jacobi Boykins missed Jumper.,15,14
7:48,158,Ed Morrow Jr Block.,15,14
7:45,158,Ed Morrow Jr Defensive Rebound.,15,14
7:31,158,Ed Morrow Jr made Layup.,15,16
7:16,2348,Erik McCree missed Three Point Jumper.,15,16
7:16,158,Tai Webster Defensive Rebound.,15,16
6:57,158,Ed Morrow Jr made Jumper.,15,18
6:39,158,Foul on Ed Morrow Jr.,15,18
6:35,158,Foul on Jack McVeigh.,15,18
6:21,158,Foul on Tai Webster.,15,18
6:21,2348,Oliver Powell missed Free Throw.,15,18
6:21,2348,Louisiana Tech Deadball Team Rebound.,15,18
6:21,2348,Oliver Powell missed Free Throw.,15,18
6:21,158,Jack McVeigh Defensive Rebound.,15,18
6:06,2348,Foul on Oliver Powell.,15,18
6:06,158,Tai Webster made Free Throw.,15,19
6:06,158,Tai Webster made Free Throw.,15,20
5:49,158,Foul on Jordy Tshimanga.,15,20
5:49,2348,Oliver Powell made Free Throw.,16,20
5:49,2348,Oliver Powell made Free Throw.,17,20
5:43,2348,Foul on Derric Jean.,17,20
5:43,158,Tai Webster made Free Throw.,17,21
5:43,158,Tai Webster made Free Throw.,17,22
5:20,2348,Oliver Powell made Three Point Jumper. Assisted by DaQuan Bracey.,20,22
4:59,158,Jack McVeigh made Three Point Jumper. Assisted by Evan Taylor.,20,25
4:43,158,Foul on Jordy Tshimanga.,20,25
4:43,2348,Jacobi Boykins missed Free Throw.,20,25
4:43,2348,Louisiana Tech Deadball Team Rebound.,20,25
4:43,2348,Jacobi Boykins made Free Throw.,21,25
4:24,158,Glynn Watson Jr. missed Three Point Jumper.,21,25
4:24,2348,Erik McCree Defensive Rebound.,21,25
4:12,2348,DaQuan Bracey Turnover.,21,25
4:12,2348,Foul on DaQuan Bracey.,21,25
4:12,158,Jack McVeigh Steal.,21,25
4:12,158,Jack McVeigh made Free Throw.,21,26
4:12,158,Jack McVeigh made Free Throw.,21,27
4:00,158,Foul on Glynn Watson Jr..,21,27
4:00,2348,Qiydar Davis made Free Throw.,22,27
4:00,2348,Qiydar Davis missed Free Throw.,22,27
4:00,158,Michael Jacobson Defensive Rebound.,22,27
3:47,158,Tai Webster missed Three Point Jumper.,22,27
3:47,2348,Erik McCree Defensive Rebound.,22,27
3:37,2348,Erik McCree missed Layup.,22,27
3:37,158,Evan Taylor Defensive Rebound.,22,27
3:25,158,Jack McVeigh missed Jumper.,22,27
3:25,158,Michael Jacobson Offensive Rebound.,22,27
3:23,158,Michael Jacobson made Jumper.,22,29
3:00,2348,Derric Jean made Layup.,24,29
2:39,158,Glynn Watson Jr. Turnover.,24,29
2:29,2348,Qiydar Davis Turnover.,24,29
2:10,2348,Foul on Jacobi Boykins.,24,29
2:10,158,Tai Webster missed Free Throw.,24,29
2:10,158,Nebraska Deadball Team Rebound.,24,29
2:10,158,Tai Webster made Free Throw.,24,30
1:49,2348,Erik McCree Turnover.,24,30
1:38,158,Jeriah Horne missed Three Point Jumper.,24,30
1:38,2348,Jacobi Boykins Defensive Rebound.,24,30
1:20,2348,Qiydar Davis Turnover.,24,30
1:12,2348,Foul on DaQuan Bracey.,24,30
1:12,158,Tai Webster made Free Throw.,24,31
1:12,158,Tai Webster made Free Throw.,24,32
0:44,2348,Jalen Harris made Layup.,26,32
0:43,158,Nebraska  Timeout,26,32
0:33,158,Evan Taylor missed Jumper.,26,32
0:33,2348,Jalen Harris Block.,26,32
0:31,2348,Louisiana Tech Defensive Rebound.,26,32
0:24,2348,Louisiana Tech  Timeout,26,32
0:06,2348,Jacobi Boykins missed Three Point Jumper.,26,32
0:06,158,Nebraska Defensive Rebound.,26,32
0:00,158,Tai Webster missed Layup.,26,32
0:00,2348,Derric Jean Defensive Rebound.,26,32
0:00,158,End of 1st half,26,32
19:44,2348,Omar Sherman made Jumper.,28,32
19:11,158,Jack McVeigh made Layup.,28,34
18:52,2348,Erik McCree missed Layup.,28,34
18:52,158,Michael Jacobson Defensive Rebound.,28,34
18:43,2348,Foul on Omar Sherman.,28,34
18:43,158,Ed Morrow Jr missed Free Throw.,28,34
18:43,158,Nebraska Deadball Team Rebound.,28,34
18:43,158,Ed Morrow Jr made Free Throw.,28,35
18:33,2348,Erik McCree made Three Point Jumper. Assisted by Derric Jean.,31,35
18:19,158,Michael Jacobson missed Three Point Jumper.,31,35
18:19,2348,Erik McCree Defensive Rebound.,31,35
17:58,2348,Qiydar Davis made Dunk.,33,35
17:32,158,Tai Webster made Layup.,33,37
17:10,2348,Derric Jean missed Three Point Jumper.,33,37
17:10,158,Jack McVeigh Defensive Rebound.,33,37
17:06,158,Glynn Watson Jr. Turnover.,33,37
16:48,2348,Qiydar Davis missed Jumper.,33,37
16:48,158,Ed Morrow Jr Defensive Rebound.,33,37
16:31,158,Jack McVeigh made Three Point Jumper. Assisted by Tai Webster.,33,40
16:20,2348,Jacobi Boykins missed Jumper.,33,40
16:20,158,Ed Morrow Jr Defensive Rebound.,33,40
16:10,2348,Foul on Joniah White.,33,40
16:10,158,Tai Webster made Free Throw.,33,41
16:10,158,Tai Webster made Free Throw.,33,42
15:59,2348,Jacobi Boykins made Jumper.,35,42
15:39,158,Glynn Watson Jr. Turnover.,35,42
15:38,158,Official TV Timeout,35,42
15:27,2348,Derric Jean Turnover.,35,42
15:25,158,Glynn Watson Jr. Steal.,35,42
15:23,158,Glynn Watson Jr. missed Layup.,35,42
15:23,2348,Derric Jean Block.,35,42
15:21,2348,Derric Jean Defensive Rebound.,35,42
15:14,158,Foul on Evan Taylor.,35,42
15:07,2348,Jacobi Boykins missed Three Point Jumper.,35,42
15:07,2348,Joniah White Offensive Rebound.,35,42
14:59,2348,Joniah White made Jumper.,37,42
14:29,2348,Foul on Jacobi Boykins.,37,42
13:57,158,Nebraska  Turnover.,37,42
13:46,2348,Jalen Harris made Jumper.,39,42
13:16,158,Foul on Ed Morrow Jr.,39,42
13:16,158,Ed Morrow Jr Turnover.,39,42
13:02,2348,DaQuan Bracey missed Jumper.,39,42
13:02,158,Evan Taylor Block.,39,42
13:02,2348,Louisiana Tech Offensive Rebound.,39,42
12:50,2348,Erik McCree Turnover.,39,42
12:33,158,Jack McVeigh made Three Point Jumper. Assisted by Tai Webster.,39,45
12:12,158,Foul on Tai Webster.,39,45
12:12,2348,Oliver Powell made Free Throw.,40,45
12:12,2348,Oliver Powell made Free Throw.,41,45
11:59,158,Jack McVeigh made Three Point Jumper. Assisted by Michael Jacobson.,41,48
11:44,2348,DaQuan Bracey missed Layup.,41,48
11:44,158,Jack McVeigh Defensive Rebound.,41,48
11:15,158,Michael Jacobson missed Jumper.,41,48
11:15,2348,DaQuan Bracey Defensive Rebound.,41,48
11:05,2348,Derric Jean missed Jumper.,41,48
11:05,158,Jack McVeigh Defensive Rebound.,41,48
10:41,158,Jack McVeigh missed Three Point Jumper.,41,48
10:41,158,Tai Webster Offensive Rebound.,41,48
10:32,158,Jack McVeigh made Layup. Assisted by Tai Webster.,41,50
10:30,2348,Louisiana Tech  Timeout,41,50
10:15,2348,Derric Jean missed Layup.,41,50
10:15,158,Isaiah Roby Defensive Rebound.,41,50
9:53,158,Evan Taylor made Jumper.,41,52
9:39,2348,Erik McCree made Layup.,43,52
9:14,158,Isaiah Roby Turnover.,43,52
9:14,158,Official TV Timeout,43,52
9:06,2348,Jacobi Boykins Turnover.,43,52
9:05,158,Michael Jacobson Steal.,43,52
8:41,2348,Foul on Derric Jean.,43,52
8:41,158,Jeriah Horne made Free Throw.,43,53
8:41,158,Jeriah Horne made Free Throw.,43,54
8:30,2348,Erik McCree made Three Point Jumper. Assisted by DaQuan Bracey.,46,54
7:55,158,Glynn Watson Jr. made Layup.,46,56
7:41,158,Foul on Glynn Watson Jr..,46,56
7:32,2348,Omar Sherman made Dunk. Assisted by DaQuan Bracey.,48,56
7:07,158,Jeriah Horne made Jumper. Assisted by Michael Jacobson.,48,58
6:49,2348,Jalen Harris made Layup.,50,58
6:34,158,Tai Webster missed Jumper.,50,58
6:34,2348,DaQuan Bracey Defensive Rebound.,50,58
6:15,2348,Jalen Harris missed Three Point Jumper.,50,58
6:15,158,Jeriah Horne Defensive Rebound.,50,58
5:51,158,Glynn Watson Jr. missed Three Point Jumper.,50,58
5:51,2348,Jacobi Boykins Defensive Rebound.,50,58
5:36,2348,Erik McCree missed Jumper.,50,58
5:36,2348,DaQuan Bracey Offensive Rebound.,50,58
5:20,2348,DaQuan Bracey missed Three Point Jumper.,50,58
5:20,158,Nebraska Defensive Rebound.,50,58
4:47,158,Jeriah Horne missed Three Point Jumper.,50,58
4:47,2348,DaQuan Bracey Defensive Rebound.,50,58
4:26,2348,Foul on Erik McCree.,50,58
4:26,2348,Erik McCree Turnover.,50,58
4:09,158,Ed Morrow Jr missed Dunk.,50,58
4:09,2348,DaQuan Bracey Defensive Rebound.,50,58
4:03,2348,Jalen Harris missed Three Point Jumper.,50,58
4:03,158,Tai Webster Defensive Rebound.,50,58
3:54,158,Ed Morrow Jr made Dunk. Assisted by Tai Webster.,50,60
3:52,2348,Louisiana Tech  Timeout,50,60
3:40,2348,Derric Jean missed Layup.,50,60
3:40,2348,Derric Jean Offensive Rebound.,50,60
3:37,2348,Erik McCree missed Three Point Jumper.,50,60
3:37,158,Evan Taylor Defensive Rebound.,50,60
3:05,158,Jack McVeigh missed Jumper.,50,60
3:05,2348,Erik McCree Defensive Rebound.,50,60
2:46,2348,Jacobi Boykins Turnover.,50,60
2:17,158,Ed Morrow Jr missed Dunk.,50,60
2:17,2348,Jalen Harris Block.,50,60
2:16,2348,Erik McCree Defensive Rebound.,50,60
2:13,2348,Jacobi Boykins missed Three Point Jumper.,50,60
2:13,2348,Qiydar Davis Offensive Rebound.,50,60
2:06,2348,Erik McCree made Jumper. Assisted by Qiydar Davis.,52,60
1:41,158,Glynn Watson Jr. missed Three Point Jumper.,52,60
1:41,158,Ed Morrow Jr Offensive Rebound.,52,60
1:37,158,Foul on Ed Morrow Jr.,52,60
1:37,158,Ed Morrow Jr Turnover.,52,60
1:28,2348,Erik McCree missed Three Point Jumper.,52,60
1:28,158,Michael Jacobson Defensive Rebound.,52,60
1:04,158,Tai Webster missed Layup.,52,60
1:04,2348,Omar Sherman Block.,52,60
1:03,2348,Omar Sherman Defensive Rebound.,52,60
0:57,2348,Erik McCree made Layup.,54,60
0:55,2348,Louisiana Tech  Timeout,54,60
0:55,2348,Foul on DaQuan Bracey.,54,60
0:46,2348,Foul on Derric Jean.,54,60
0:46,158,Jack McVeigh made Free Throw.,54,61
0:46,158,Jack McVeigh missed Free Throw.,54,61
0:46,2348,Erik McCree Defensive Rebound.,54,61
0:41,158,Foul on Jack McVeigh.,54,61
0:41,2348,Erik McCree Turnover.,54,61
0:41,158,Tai Webster Steal.,54,61
0:37,2348,Foul on Jacobi Boykins.,54,61
0:37,158,Jack McVeigh made Free Throw.,54,62
0:37,158,Jack McVeigh made Free Throw.,54,63
0:33,2348,Jacobi Boykins missed Three Point Jumper.,54,63
0:33,2348,Omar Sherman Offensive Rebound.,54,63
0:26,2348,Derric Jean Turnover.,54,63
0:25,158,Tai Webster Steal.,54,63
0:25,2348,Foul on Erik McCree.,54,63
0:25,158,Tai Webster made Free Throw.,54,64
0:25,158,Tai Webster made Free Throw.,54,65
0:19,2348,Derric Jean missed Layup.,54,65
0:19,2348,Erik McCree Offensive Rebound.,54,65
0:17,2348,Erik McCree missed Jumper.,54,65
0:17,158,Michael Jacobson Block.,54,65
0:16,158,Tai Webster Defensive Rebound.,54,65
0:00,158,End of Game,54,65
