UC Santa Barbara,2934,CSU Bakersfield,2540
3:28,2540,Jarriesse Blackmon Turnover.,64,66
3:27,2934,Jaylin Airington Steal.,64,66
3:01,2934,Jaylin Airington made Three Point Jumper. Assisted by Shon Briggs.,64,69
2:36,2540,Gabe Vincent Turnover.,64,69
2:36,2540,Foul on Gabe Vincent.,64,69
2:19,2934,Jaylin Airington made Three Point Jumper. Assisted by Justin Pride.,64,72
1:58,2540,Max Heidegger Turnover.,64,72
1:58,2934,Justin Pride Steal.,64,72
1:53,2934,Shon Briggs Turnover.,64,72
1:31,2540,Gabe Vincent missed Three Point Jumper.,64,72
1:31,2934,Dedrick Basile Defensive Rebound.,64,72
1:03,2934,Dedrick Basile made Jumper. Assisted by Justin Pride.,64,74
0:39,2540,Max Heidegger made Layup.,66,74
0:39,2540,UC Santa Barbara  Timeout,66,74
0:31,2540,Foul on Eric Childress.,66,74
0:31,2934,Jaylin Airington made Free Throw.,66,75
0:31,2934,Jaylin Airington missed Free Throw.,66,75
0:31,2540,Christian Terrell Defensive Rebound.,66,75
0:27,2540,Clifton Powell made Layup.,68,75
0:25,2934,Foul on Dedrick Basile.,68,75
0:25,2540,Clifton Powell missed Free Throw.,68,75
0:25,2540,Eric Childress Offensive Rebound.,68,75
0:21,2540,Clifton Powell missed Jumper.,68,75
0:21,2540,Gabe Vincent Offensive Rebound.,68,75
0:15,2540,Gabe Vincent Turnover.,68,75
0:15,2934,Justin Pride Steal.,68,75
0:12,2540,Foul on Gabe Vincent.,68,75
0:12,2934,Justin Pride made Free Throw.,68,76
0:12,2934,Justin Pride made Free Throw.,68,77
0:06,2540,Jarriesse Blackmon made Layup. Assisted by Eric Childress.,70,77
0:00,2934,End of Game,70,77
