Trinity (IL),Error,UIC,82
3:53,2652,Trinity (IL) Defensive Rebound.,32,37
3:49,82,Official TV Timeout,32,37
3:34,2652,Jordan Perry made Jumper. Assisted by Juozas Balciunas.,34,37
3:07,82,Dominique Matthews missed Jumper.,34,37
3:07,82,Tai Odiase Offensive Rebound.,34,37
3:06,2652,Foul on Jordan Perry.,34,37
3:06,82,Tai Odiase made Free Throw.,34,38
3:06,82,Tai Odiase made Free Throw.,34,39
3:01,2652,Trey Johnson missed Jumper.,34,39
3:01,82,Godwin Boahen Defensive Rebound.,34,39
2:52,2652,Foul on Trey Johnson.,34,39
2:52,82,Dikembe Dixson made Free Throw.,34,40
2:52,82,Dikembe Dixson made Free Throw.,34,41
2:38,2652,Trey Johnson missed Layup.,34,41
2:38,82,Dikembe Dixson Defensive Rebound.,34,41
2:33,2652,Foul on Juozas Balciunas.,34,41
2:33,82,Dikembe Dixson made Free Throw.,34,42
2:33,82,Dikembe Dixson made Free Throw.,34,43
2:10,2652,Jordan Perry made Jumper. Assisted by Trey Johnson.,36,43
1:58,82,Godwin Boahen missed Three Point Jumper.,36,43
1:58,2652,Myles Birgans Defensive Rebound.,36,43
1:49,2652,Juozas Balciunas missed Three Point Jumper.,36,43
1:49,82,Godwin Boahen Defensive Rebound.,36,43
1:44,82,Dikembe Dixson missed Jumper.,36,43
1:44,2652,Trinity (IL) Defensive Rebound.,36,43
1:40,82,Foul on Dominique Matthews.,36,43
1:28,2652,Myles Birgans Turnover.,36,43
1:27,82,Tai Odiase Steal.,36,43
1:23,82,Marcus Ottey missed Layup.,36,43
1:23,82,Michael Kolawole Offensive Rebound.,36,43
1:20,82,Michael Kolawole made Layup.,36,45
1:10,2652,Myles Birgans missed Three Point Jumper.,36,45
1:10,82,K.J. Santos Defensive Rebound.,36,45
1:01,82,Marcus Ottey missed Layup.,36,45
1:01,2652,Juozas Balciunas Defensive Rebound.,36,45
0:52,2652,Juozas Balciunas missed Layup.,36,45
0:52,82,Marcus Ottey Defensive Rebound.,36,45
0:47,82,Michael Kolawole made Layup. Assisted by Marcus Ottey.,36,47
0:46,2652,Foul on Myles Birgans.,36,47
0:46,82,Michael Kolawole made Free Throw.,36,48
0:40,2652,Juozas Balciunas missed Jumper.,36,48
0:40,82,Dikembe Dixson Defensive Rebound.,36,48
0:31,82,Michael Kolawole made Layup. Assisted by Dikembe Dixson.,36,50
0:03,2652,Trey Johnson Turnover.,36,50
0:01,82,Michael Kolawole Steal.,36,50
0:00,82,Marcus Ottey made Layup.,36,52
0:00,82,End of 1st half,36,50
19:49,82,Tai Odiase made Jumper. Assisted by Tarkus Ferguson.,36,54
19:22,2652,Jordan Perry missed Jumper.,36,54
19:22,82,Marcus Ottey Defensive Rebound.,36,54
19:12,82,Tai Odiase made Dunk. Assisted by Tarkus Ferguson.,36,56
19:11,2652,Foul on Trey Johnson.,36,56
19:11,82,Tai Odiase missed Free Throw.,36,56
19:11,2652,Trinity (IL) Defensive Rebound.,36,56
18:55,2652,Juozas Balciunas made Three Point Jumper. Assisted by Christian Cantu.,39,56
18:46,2652,Foul on Jordan Perry.,39,56
18:40,82,K.J. Santos missed Three Point Jumper.,39,56
18:40,2652,Caleb Jonkman Defensive Rebound.,39,56
18:34,2652,Jordan Perry missed Layup.,39,56
18:34,82,K.J. Santos Block.,39,56
18:32,2652,Christian Cantu Offensive Rebound.,39,56
18:25,2652,Juozas Balciunas made Three Point Jumper. Assisted by Christian Cantu.,42,56
18:18,82,Dikembe Dixson missed Jumper.,42,56
18:18,2652,Jordan Perry Defensive Rebound.,42,56
18:11,2652,Juozas Balciunas missed Three Point Jumper.,42,56
18:11,82,Dikembe Dixson Defensive Rebound.,42,56
18:01,82,K.J. Santos Turnover.,42,56
17:41,2652,Christian Cantu Turnover.,42,56
17:40,82,Tai Odiase Steal.,42,56
17:36,82,Dikembe Dixson made Layup. Assisted by K.J. Santos.,42,58
16:58,2652,Trinity (IL)  Turnover.,42,58
16:45,82,Marcus Ottey made Layup. Assisted by Tarkus Ferguson.,42,60
16:32,2652,Jordan Perry made Layup. Assisted by Juozas Balciunas.,44,60
16:19,2652,Foul on Juozas Balciunas.,44,60
16:19,82,Tai Odiase missed Free Throw.,44,60
16:19,82,UIC Deadball Team Rebound.,44,60
16:19,82,Tai Odiase made Free Throw.,44,61
16:04,2652,Myles Birgans missed Three Point Jumper.,44,61
16:04,82,Marcus Ottey Defensive Rebound.,44,61
15:54,82,Dikembe Dixson Turnover.,44,61
15:36,82,Foul on Tai Odiase.,44,61
15:36,2652,Myles Birgans missed Free Throw.,44,61
15:36,2652,Trinity (IL) Deadball Team Rebound.,44,61
15:36,2652,Myles Birgans made Free Throw.,45,61
15:30,82,Tai Odiase made Layup.,45,63
15:30,2652,Foul on Ben Brinks.,45,63
15:30,82,Tai Odiase made Free Throw.,45,64
15:25,82,Foul on Marcus Ottey.,45,64
15:25,2652,Juozas Balciunas made Free Throw.,46,64
15:25,2652,Juozas Balciunas made Free Throw.,47,64
15:17,82,Tai Odiase made Dunk. Assisted by K.J. Santos.,47,66
14:48,2652,Myles Birgans Turnover.,47,66
14:48,82,Tai Odiase Steal.,47,66
14:46,82,Tai Odiase Turnover.,47,66
14:45,2652,Myles Birgans Steal.,47,66
14:42,82,Foul on Tai Odiase.,47,66
14:42,2652,Jordan Perry made Free Throw.,48,66
14:42,2652,Jordan Perry made Free Throw.,49,66
14:36,82,Clint Robinson made Dunk. Assisted by Dikembe Dixson.,49,68
14:21,82,Foul on Godwin Boahen.,49,68
14:21,2652,Caleb Jonkman Turnover.,49,68
14:21,82,K.J. Santos Steal.,49,68
14:19,82,K.J. Santos made Dunk.,49,70
13:57,2652,Juozas Balciunas missed Three Point Jumper.,49,70
13:57,82,UIC Defensive Rebound.,49,70
13:54,2652,Foul on Ben Brinks.,49,70
13:31,2652,Foul on Jordan Perry.,49,70
13:12,82,Godwin Boahen missed Jumper.,49,70
13:12,82,Clint Robinson Offensive Rebound.,49,70
13:10,2652,Foul on Zack Austell.,49,70
13:10,82,Clint Robinson missed Free Throw.,49,70
13:10,82,UIC Deadball Team Rebound.,49,70
13:10,82,Clint Robinson made Free Throw.,49,71
12:57,2652,Myles Birgans Turnover.,49,71
12:57,82,Dikembe Dixson Steal.,49,71
12:55,82,Dikembe Dixson made Layup.,49,73
12:25,2652,Jordan Perry made Layup.,51,73
12:10,82,Dikembe Dixson Turnover.,51,73
11:56,2652,Myles Birgans Turnover.,51,73
11:56,82,Official TV Timeout,51,73
11:45,82,Clint Robinson Turnover.,51,73
11:17,2652,Jordan Perry missed Jumper.,51,73
11:17,82,Kyle Guice Defensive Rebound.,51,73
11:08,82,Dominique Matthews missed Three Point Jumper.,51,73
11:08,2652,Jordan Perry Defensive Rebound.,51,73
11:04,2652,Jordan Perry Turnover.,51,73
11:02,82,Godwin Boahen Steal.,51,73
11:02,2652,Foul on Jordan Perry.,51,73
11:02,82,Godwin Boahen made Free Throw.,51,74
11:02,82,Godwin Boahen missed Free Throw.,51,74
11:02,2652,Jordan Perry Defensive Rebound.,51,74
10:58,2652,Caleb Jonkman Turnover.,51,74
10:43,2652,Foul on Zack Austell.,51,74
10:43,82,Clint Robinson made Free Throw.,51,75
10:43,82,Clint Robinson made Free Throw.,51,76
10:28,2652,Juozas Balciunas Turnover.,51,76
10:27,82,Dominique Matthews Steal.,51,76
10:25,82,Dominique Matthews made Layup.,51,78
9:57,2652,Trey Johnson made Jumper. Assisted by Juozas Balciunas.,53,78
9:40,82,Dominique Matthews made Three Point Jumper. Assisted by Godwin Boahen.,53,81
9:20,82,Foul on Dominique Matthews.,53,81
9:18,2652,Christian Cantu Turnover.,53,81
9:02,82,Kyle Guice missed Three Point Jumper.,53,81
9:02,82,Clint Robinson Offensive Rebound.,53,81
8:57,82,Clint Robinson made Layup.,53,83
8:57,2652,Foul on Trey Johnson.,53,83
8:57,82,Clint Robinson missed Free Throw.,53,83
8:57,2652,Trey Johnson Defensive Rebound.,53,83
8:44,2652,Trey Johnson missed Three Point Jumper.,53,83
8:44,82,Kyle Guice Defensive Rebound.,53,83
8:34,82,Godwin Boahen made Three Point Jumper. Assisted by Michael Kolawole.,53,86
8:13,2652,Juozas Balciunas made Three Point Jumper.,56,86
7:57,82,Clint Robinson missed Layup.,56,86
7:57,2652,Trey Johnson Block.,56,86
7:54,82,Clint Robinson Offensive Rebound.,56,86
7:53,2652,Foul on Ben Brinks.,56,86
7:53,82,Official TV Timeout,56,86
7:53,82,Clint Robinson missed Free Throw.,56,86
7:53,82,UIC Deadball Team Rebound.,56,86
7:53,82,Clint Robinson made Free Throw.,56,87
7:38,2652,Juozas Balciunas Turnover.,56,87
7:37,82,Clint Robinson Steal.,56,87
7:35,82,Clint Robinson Turnover.,56,87
7:34,2652,Juozas Balciunas Steal.,56,87
7:21,2652,Caleb Jonkman made Three Point Jumper. Assisted by Juozas Balciunas.,59,87
7:04,2652,Foul on Trey Johnson.,59,87
7:04,82,Clint Robinson made Free Throw.,59,88
7:04,82,Clint Robinson made Free Throw.,59,89
6:52,2652,Caleb Jonkman missed Three Point Jumper.,59,89
6:52,82,Tai Odiase Defensive Rebound.,59,89
6:40,82,Tai Odiase missed Jumper.,59,89
6:40,2652,Christian Cantu Defensive Rebound.,59,89
6:27,2652,Juozas Balciunas missed Three Point Jumper.,59,89
6:27,82,Tarkus Ferguson Defensive Rebound.,59,89
6:23,82,Tarkus Ferguson missed Layup.,59,89
6:23,82,K.J. Santos Offensive Rebound.,59,89
6:23,82,K.J. Santos made Two Point Tip Shot.,59,91
6:23,2652,Christian Cantu missed Layup.,59,91
6:23,2652,Christian Cantu Offensive Rebound.,59,91
5:51,82,Foul on Tai Odiase.,59,91
5:51,2652,Jordan Perry made Free Throw.,60,91
5:51,2652,Jordan Perry made Free Throw.,61,91
5:39,82,Marcus Ottey made Layup.,61,93
5:24,82,Foul on Marcus Ottey.,61,93
5:24,2652,Juozas Balciunas made Free Throw.,62,93
5:24,2652,Juozas Balciunas made Free Throw.,63,93
5:10,2652,Foul on Zack Austell.,63,93
5:10,82,Clint Robinson made Free Throw.,63,94
5:10,82,Clint Robinson made Free Throw.,63,95
4:57,2652,Zack Austell missed Three Point Jumper.,63,95
4:57,82,Clint Robinson Defensive Rebound.,63,95
4:51,2652,Foul on Juozas Balciunas.,63,95
4:51,82,Marcus Ottey missed Free Throw.,63,95
4:51,82,UIC Deadball Team Rebound.,63,95
4:51,82,Marcus Ottey missed Free Throw.,63,95
4:50,2652,Trinity (IL) Defensive Rebound.,63,95
4:34,2652,Jordan Perry missed Three Point Jumper.,63,95
4:34,82,Dikembe Dixson Defensive Rebound.,63,95
4:25,82,Tarkus Ferguson missed Three Point Jumper.,63,95
4:25,2652,Caleb Jonkman Defensive Rebound.,63,95
4:14,2652,Jordan Perry missed Layup.,63,95
4:14,82,Clint Robinson Block.,63,95
4:12,2652,Zack Austell Offensive Rebound.,63,95
4:00,2652,Juozas Balciunas missed Jumper.,63,95
4:00,82,Hassan Thomas Defensive Rebound.,63,95
3:56,2652,Foul on Zack Austell.,63,95
3:56,82,Official TV Timeout,63,95
3:56,82,Clint Robinson made Free Throw.,63,96
3:56,82,Clint Robinson made Free Throw.,63,97
3:31,2652,Myles Birgans missed Jumper.,63,97
3:31,82,Clint Robinson Defensive Rebound.,63,97
3:25,82,Marcus Ottey made Layup. Assisted by Clint Robinson.,63,99
3:00,2652,Erron Hall Turnover.,63,99
2:59,82,Hassan Thomas Steal.,63,99
2:49,82,Dikembe Dixson Turnover.,63,99
2:30,2652,Zack Austell missed Jumper.,63,99
2:30,82,Michael Kolawole Defensive Rebound.,63,99
2:22,82,Hassan Thomas missed Three Point Jumper.,63,99
2:22,2652,Erron Hall Defensive Rebound.,63,99
2:14,2652,Erron Hall missed Layup.,63,99
2:14,82,Michael Kolawole Defensive Rebound.,63,99
2:08,82,Godwin Boahen made Layup. Assisted by Hassan Thomas.,63,101
1:47,2652,Aaron Haan missed Three Point Jumper.,63,101
1:47,82,Hassan Thomas Defensive Rebound.,63,101
1:33,82,Hassan Thomas Turnover.,63,101
1:20,2652,Myles Birgans made Layup. Assisted by Aaron Haan.,65,101
0:58,2652,Foul on Zack Austell.,65,101
0:58,82,Hassan Thomas missed Free Throw.,65,101
0:58,82,UIC Deadball Team Rebound.,65,101
0:58,82,Hassan Thomas made Free Throw.,65,102
0:40,82,Foul on Kyle Guice.,65,102
0:40,2652,Erron Hall made Free Throw.,66,102
0:40,2652,Erron Hall missed Free Throw.,66,102
0:40,82,Kyle Guice Defensive Rebound.,66,102
0:10,82,Dominique Matthews missed Three Point Jumper.,66,102
0:10,2652,Myles Birgans Defensive Rebound.,66,102
0:01,2652,Myles Birgans missed Three Point Jumper.,66,102
0:01,2652,Trinity (IL) Offensive Rebound.,66,102
0:00,82,End of Game,66,102
