Northern Illinois,2463,CSU Northridge,2459
5:49,2463,Rakim Lubin Defensive Rebound.,68,65
5:31,2463,Kendall Smith missed Three Point Jumper.,68,65
5:31,2459,Dontel Highsmith Defensive Rebound.,68,65
5:24,2459,Aaric Armstead made Layup. Assisted by Dontel Highsmith.,70,65
5:18,2463,CSU Northridge  Timeout,70,65
5:05,2463,Reggie Theus Jr. made Jumper. Assisted by Aaron Parks.,70,67
4:38,2459,Justin Thomas missed Jumper.,70,67
4:38,2463,Kendall Smith Block.,70,67
4:36,2463,Kendall Smith Defensive Rebound.,70,67
4:36,2459,Foul on Levi Bradley.,70,67
4:36,2463,Kendall Smith made Free Throw.,70,68
4:36,2463,Kendall Smith made Free Throw.,70,69
4:21,2459,Aaric Armstead missed Three Point Jumper.,70,69
4:21,2459,Dontel Highsmith Offensive Rebound.,70,69
4:16,2459,Dontel Highsmith missed Layup.,70,69
4:16,2463,Aaron Parks Defensive Rebound.,70,69
4:12,2459,Foul on Laytwan Porter.,70,69
4:12,2463,Tavrion Dawson made Layup. Assisted by Kendall Smith.,70,71
4:12,2463,Tavrion Dawson made Free Throw.,70,72
3:59,2459,Dontel Highsmith missed Three Point Jumper.,70,72
3:59,2459,Northern Illinois Offensive Rebound.,70,72
3:56,2459,Northern Illinois  Timeout,70,72
3:40,2459,Marin Maric missed Three Point Jumper.,70,72
3:40,2463,Kendall Smith Defensive Rebound.,70,72
3:15,2463,Reggie Theus Jr. made Three Point Jumper. Assisted by Kendall Smith.,70,75
3:01,2459,Northern Illinois  Timeout,70,75
2:54,2459,Laytwan Porter missed Layup.,70,75
2:54,2463,Kendall Smith Defensive Rebound.,70,75
2:37,2463,Rakim Lubin missed Layup.,70,75
2:37,2459,Marin Maric Block.,70,75
2:35,2459,Laytwan Porter Defensive Rebound.,70,75
2:31,2459,Dontel Highsmith made Layup. Assisted by Laytwan Porter.,72,75
2:14,2463,Rakim Lubin made Layup. Assisted by Kendall Smith.,72,77
1:58,2459,Laytwan Porter missed Layup.,72,77
1:58,2459,Marin Maric Offensive Rebound.,72,77
1:56,2459,Marin Maric made Layup.,74,77
1:56,2463,Foul on Reggie Theus Jr..,74,77
1:56,2459,Marin Maric made Free Throw.,75,77
1:33,2459,Foul on Marin Maric.,75,77
1:33,2463,Kendall Smith made Free Throw.,75,78
1:33,2463,Kendall Smith made Free Throw.,75,79
1:19,2459,Laytwan Porter made Three Point Jumper.,78,79
1:16,2459,Northern Illinois  Timeout,78,79
1:05,2459,Foul on Levi Bradley.,78,79
1:05,2463,Tavrion Dawson made Free Throw.,78,80
1:05,2463,Tavrion Dawson made Free Throw.,78,81
0:52,2459,Levi Bradley missed Layup.,78,81
0:52,2463,Aaron Parks Defensive Rebound.,78,81
0:25,2463,Rakim Lubin missed Layup.,78,81
0:25,2459,Aaric Armstead Defensive Rebound.,78,81
0:19,2459,Aaric Armstead missed Layup.,78,81
0:19,2463,Tavrion Dawson Defensive Rebound.,78,81
0:18,2459,Foul on Aaric Armstead.,78,81
0:18,2463,Tavrion Dawson made Free Throw.,78,82
0:18,2463,Tavrion Dawson made Free Throw.,78,83
0:13,2459,Laytwan Porter missed Layup.,78,83
0:13,2459,Laytwan Porter Offensive Rebound.,78,83
0:10,2459,Laytwan Porter made Three Point Jumper.,81,83
0:09,2459,Foul on Justin Thomas.,81,83
0:09,2463,Rakim Lubin missed Free Throw.,81,83
0:09,2463,CSU Northridge Deadball Team Rebound.,81,83
0:09,2463,Rakim Lubin made Free Throw.,81,84
0:09,2463,CSU Northridge  Timeout,81,84
0:03,2463,Foul on Kendall Smith.,81,84
0:03,2459,Levi Bradley missed Free Throw.,81,84
0:03,2459,Northern Illinois Deadball Team Rebound.,81,84
0:03,2459,Levi Bradley made Free Throw.,82,84
0:02,2463,Rakim Lubin Turnover.,82,84
0:02,2459,Dontel Highsmith Steal.,82,84
0:01,2459,Dontel Highsmith missed Three Point Jumper.,82,84
0:01,2463,CSU Northridge Defensive Rebound.,82,84
0:00,2463,End of Game,82,84
