Chicago State,2473,Oakland,2130
8:34,2473,Jalen Hayes Defensive Rebound.,18,24
8:24,2473,Martez Walker made Three Point Jumper. Assisted by Sherron Dorsey-Walker.,18,27
8:05,2130,Clemmye Owens V Turnover.,18,27
8:03,2473,Chris Palombizio Steal.,18,27
8:01,2473,Martez Walker Turnover.,18,27
7:38,2130,Brian Greene Jr. made Three Point Jumper. Assisted by Patrick Szpir.,21,27
7:11,2473,Chris Palombizio made Three Point Jumper. Assisted by Jalen Hayes.,21,30
7:00,2130,Delundre Dixon made Three Point Jumper. Assisted by Patrick Szpir.,24,30
6:49,2473,Chris Palombizio missed Three Point Jumper.,24,30
6:49,2130,Brian Greene Jr. Defensive Rebound.,24,30
6:39,2130,Joshua Batson missed Three Point Jumper.,24,30
6:39,2473,Sherron Dorsey-Walker Defensive Rebound.,24,30
6:32,2130,Foul on Joshua Batson.,24,30
6:32,2473,Official TV Timeout,24,30
6:32,2473,Sherron Dorsey-Walker made Free Throw.,24,31
6:32,2473,Sherron Dorsey-Walker made Free Throw.,24,32
6:16,2130,Brian Greene Jr. missed Layup.,24,32
6:16,2473,Jalen Hayes Defensive Rebound.,24,32
6:03,2473,Chris Palombizio missed Three Point Jumper.,24,32
6:03,2473,Martez Walker Offensive Rebound.,24,32
5:58,2473,Martez Walker missed Layup.,24,32
5:58,2130,Patrick Szpir Defensive Rebound.,24,32
5:53,2130,Fred Sims Jr. made Jumper.,26,32
5:35,2473,Sherron Dorsey-Walker missed Three Point Jumper.,26,32
5:35,2473,Chris Palombizio Offensive Rebound.,26,32
5:30,2473,Chris Palombizio missed Jumper.,26,32
5:30,2130,Brian Greene Jr. Block.,26,32
5:27,2130,Brian Greene Jr. Defensive Rebound.,26,32
5:21,2130,Fred Sims Jr. missed Three Point Jumper.,26,32
5:21,2473,Chris Palombizio Defensive Rebound.,26,32
5:09,2473,Chris Palombizio made Jumper. Assisted by Xavier Hill-Mais.,26,34
4:49,2130,Delundre Dixon missed Three Point Jumper.,26,34
4:49,2473,Chris Palombizio Defensive Rebound.,26,34
4:38,2473,Martez Walker made Three Point Jumper. Assisted by Chris Palombizio.,26,37
4:23,2473,Foul on Sherron Dorsey-Walker.,26,37
4:09,2130,Patrick Szpir Turnover.,26,37
4:08,2473,Jalen Hayes Steal.,26,37
4:03,2473,Nick Daniels missed Three Point Jumper.,26,37
4:03,2473,Xavier Hill-Mais Offensive Rebound.,26,37
3:58,2473,Xavier Hill-Mais made Layup.,26,39
3:31,2130,Glen Burns Turnover.,26,39
3:31,2473,Official TV Timeout,26,39
3:30,2130,Foul on Glen Burns.,26,39
3:30,2473,Brailen Neely made Free Throw.,26,40
3:30,2473,Brailen Neely made Free Throw.,26,41
3:14,2130,Brian Greene Jr. missed Layup.,26,41
3:14,2473,Jaevin Cumberland Defensive Rebound.,26,41
3:07,2473,Nick Daniels missed Three Point Jumper.,26,41
3:07,2130,Brian Greene Jr. Defensive Rebound.,26,41
3:00,2473,Foul on Nick Daniels.,26,41
3:00,2130,Brian Greene Jr. missed Free Throw.,26,41
3:00,2130,Chicago St Deadball Team Rebound.,26,41
3:00,2130,Brian Greene Jr. made Free Throw.,27,41
2:55,2130,Foul on Fred Sims Jr..,27,41
2:55,2473,Nick Daniels made Free Throw.,27,42
2:55,2473,Nick Daniels made Free Throw.,27,43
2:41,2473,Foul on Xavier Hill-Mais.,27,43
2:41,2130,Deionte Simmons made Free Throw.,28,43
2:41,2130,Deionte Simmons made Free Throw.,29,43
2:35,2130,Foul on Joshua Batson.,29,43
2:35,2473,Brailen Neely made Free Throw.,29,44
2:35,2473,Brailen Neely missed Free Throw.,29,44
2:35,2130,Deionte Simmons Defensive Rebound.,29,44
2:08,2130,Clemmye Owens V missed Jumper.,29,44
2:08,2473,Jalen Hayes Defensive Rebound.,29,44
1:44,2473,Brailen Neely made Layup.,29,46
1:19,2473,Foul on Isaiah Brock.,29,46
1:19,2130,Brian Greene Jr. made Free Throw.,30,46
1:19,2130,Brian Greene Jr. made Free Throw.,31,46
1:12,2473,Brailen Neely missed Three Point Jumper.,31,46
1:12,2130,Chicago St Defensive Rebound.,31,46
0:58,2473,Foul on Martez Walker.,31,46
0:58,2130,Glen Burns made Free Throw.,32,46
0:58,2130,Glen Burns made Free Throw.,33,46
0:39,2473,Brailen Neely Turnover.,33,46
0:37,2130,Brian Greene Jr. Steal.,33,46
0:35,2130,Brian Greene Jr. Turnover.,33,46
0:33,2473,Brailen Neely Steal.,33,46
0:29,2473,Jalen Hayes made Dunk. Assisted by Brailen Neely.,33,48
0:09,2473,Foul on Brailen Neely.,33,48
0:09,2130,Glen Burns made Free Throw.,34,48
0:09,2130,Glen Burns missed Free Throw.,34,48
0:09,2473,Isaiah Brock Defensive Rebound.,34,48
0:02,2473,Martez Walker missed Three Point Jumper.,34,48
0:02,2130,Deionte Simmons Defensive Rebound.,34,48
0:00,2473,End of 1st half,34,48
19:48,2130,Deionte Simmons missed Layup.,34,48
19:48,2473,Isaiah Brock Block.,34,48
19:45,2473,Jalen Hayes Defensive Rebound.,34,48
19:30,2473,Jalen Hayes missed Jumper.,34,48
19:30,2473,Martez Walker Offensive Rebound.,34,48
19:26,2473,Martez Walker missed Jumper.,34,48
19:26,2130,Deionte Simmons Defensive Rebound.,34,48
19:11,2130,Fred Sims Jr. missed Jumper.,34,48
19:11,2473,Isaiah Brock Defensive Rebound.,34,48
19:03,2473,Isaiah Brock made Jumper. Assisted by Stevie Clark.,34,50
18:46,2130,Trayvon Palmer made Jumper. Assisted by Glen Burns.,36,50
18:35,2473,Martez Walker made Three Point Jumper. Assisted by Sherron Dorsey-Walker.,36,53
18:19,2130,Trayvon Palmer Turnover.,36,53
18:14,2473,Isaiah Brock made Dunk. Assisted by Stevie Clark.,36,55
17:50,2130,Glen Burns missed Layup.,36,55
17:50,2473,Oakland Deadball Team Rebound.,36,55
17:50,2130,Foul on Deionte Simmons.,36,55
17:42,2473,Martez Walker made Layup. Assisted by Sherron Dorsey-Walker.,36,57
17:26,2130,Deionte Simmons made Layup.,38,57
17:18,2473,Stevie Clark Turnover.,38,57
17:18,2130,Deionte Simmons Steal.,38,57
17:18,2130,Deionte Simmons Turnover.,38,57
17:11,2473,Sherron Dorsey-Walker missed Jumper.,38,57
17:11,2473,Isaiah Brock Offensive Rebound.,38,57
17:07,2473,Isaiah Brock made Layup.,38,59
16:53,2130,Deionte Simmons missed Jumper.,38,59
16:53,2473,Stevie Clark Defensive Rebound.,38,59
16:44,2130,Foul on Fred Sims Jr..,38,59
16:44,2473,Stevie Clark made Free Throw.,38,60
16:44,2473,Stevie Clark missed Free Throw.,38,60
16:44,2130,Deionte Simmons Defensive Rebound.,38,60
16:36,2130,Glen Burns made Layup.,40,60
16:25,2473,Sherron Dorsey-Walker made Three Point Jumper. Assisted by Stevie Clark.,40,63
16:06,2473,Foul on Sherron Dorsey-Walker.,40,63
16:05,2130,Deionte Simmons made Jumper. Assisted by Glen Burns.,42,63
15:57,2473,Sherron Dorsey-Walker missed Three Point Jumper.,42,63
15:57,2473,Jalen Hayes Offensive Rebound.,42,63
15:50,2473,Jalen Hayes missed Jumper.,42,63
15:50,2130,Deionte Simmons Block.,42,63
15:47,2130,Deionte Simmons Defensive Rebound.,42,63
15:40,2130,Fred Sims Jr. made Layup.,44,63
15:27,2473,Brailen Neely Turnover.,44,63
15:25,2130,Deionte Simmons Steal.,44,63
15:18,2130,Fred Sims Jr. made Layup. Assisted by Glen Burns.,46,63
15:01,2473,Brailen Neely Turnover.,46,63
14:59,2130,Glen Burns Steal.,46,63
14:56,2130,Clemmye Owens V made Three Point Jumper. Assisted by Glen Burns.,49,63
14:50,2473,Oakland  Timeout,49,63
14:47,2473,Jalen Hayes made Layup. Assisted by Nick Daniels.,49,65
14:42,2130,Glen Burns Turnover.,49,65
14:42,2473,Official TV Timeout,49,65
14:35,2130,Foul on Fred Sims Jr..,49,65
14:35,2473,Martez Walker made Free Throw.,49,66
14:35,2473,Martez Walker made Free Throw.,49,67
14:35,2473,Martez Walker made Free Throw.,49,68
14:19,2130,Clemmye Owens V made Three Point Jumper. Assisted by Glen Burns.,52,68
13:59,2473,Nick Daniels made Three Point Jumper. Assisted by Stevie Clark.,52,71
13:35,2130,Brian Greene Jr. made Three Point Jumper. Assisted by Clemmye Owens V.,55,71
13:18,2473,Xavier Hill-Mais made Jumper. Assisted by Nick Daniels.,55,73
12:55,2473,Foul on Xavier Hill-Mais.,55,73
12:55,2130,Deionte Simmons made Free Throw.,56,73
12:55,2130,Deionte Simmons made Free Throw.,57,73
12:43,2473,Xavier Hill-Mais missed Jumper.,57,73
12:43,2130,Deionte Simmons Defensive Rebound.,57,73
12:34,2130,Brian Greene Jr. missed Jumper.,57,73
12:34,2473,Isaiah Brock Defensive Rebound.,57,73
12:20,2473,Xavier Hill-Mais missed Layup.,57,73
12:20,2130,Brian Greene Jr. Defensive Rebound.,57,73
12:19,2473,Foul on Chris Palombizio.,57,73
11:58,2130,Glen Burns missed Jumper.,57,73
11:58,2473,Nick Daniels Defensive Rebound.,57,73
11:52,2473,Official TV Timeout,57,73
11:44,2473,Xavier Hill-Mais made Jumper. Assisted by Stevie Clark.,57,75
11:23,2130,Trayvon Palmer missed Jumper.,57,75
11:23,2130,Trayvon Palmer Offensive Rebound.,57,75
11:18,2130,Trayvon Palmer made Layup.,59,75
11:09,2473,Stevie Clark made Jumper.,59,77
10:54,2130,Deionte Simmons missed Jumper.,59,77
10:54,2473,Oakland Defensive Rebound.,59,77
10:45,2473,Xavier Hill-Mais made Layup. Assisted by Stevie Clark.,59,79
10:20,2473,Foul on Stevie Clark.,59,79
10:09,2130,Trayvon Palmer made Three Point Jumper. Assisted by Patrick Szpir.,62,79
